datetime,date,hour_utc,pressure_hPa,height_m,temp_c,dewpoint_c,wind_dir_deg,wind_speed_m_s
2020-02-01 00:00:00,2020-02-01,0,997.0,139.0,11.0,6.4,190.0,2.0
2020-02-01 12:00:00,2020-02-01,12,996.0,139.0,13.0,6.0,190.0,6.0
2020-02-02 00:00:00,2020-02-02,0,994.0,139.0,7.0,5.8,200.0,4.0
2020-02-02 12:00:00,2020-02-02,12,998.0,139.0,12.4,4.4,270.0,14.0
2020-02-03 00:00:00,2020-02-03,0,992.0,139.0,10.4,7.3,240.0,8.0
2020-02-03 12:00:00,2020-02-03,12,996.0,139.0,9.4,5.0,280.0,8.0
2020-02-04 00:00:00,2020-02-04,0,996.0,139.0,7.6,3.1,280.0,6.0
2020-02-04 12:00:00,2020-02-04,12,979.0,139.0,8.6,2.6,290.0,16.0
2020-02-05 00:00:00,2020-02-05,0,987.0,139.0,4.6,-1.4,320.0,14.0
2020-02-05 12:00:00,2020-02-05,12,994.0,139.0,8.8,-2.2,350.0,12.0
2020-02-06 00:00:00,2020-02-06,0,1009.0,139.0,0.4,-10.6,330.0,8.0
2020-02-06 12:00:00,2020-02-06,12,1009.0,139.0,4.0,-6.0,290.0,12.0
2020-02-07 00:00:00,2020-02-07,0,1007.0,139.0,3.2,-1.5,310.0,10.0
2020-02-07 12:00:00,2020-02-07,12,1008.0,139.0,7.4,0.4,300.0,8.0
2020-02-08 00:00:00,2020-02-08,0,1014.0,139.0,1.2,-8.8,100.0,4.0
2020-02-08 12:00:00,2020-02-08,12,1015.0,139.0,3.4,-12.6,160.0,4.0
2020-02-09 00:00:00,2020-02-09,0,1014.0,139.0,-1.7,-10.7,100.0,4.0
2020-02-09 12:00:00,2020-02-09,12,1012.0,139.0,7.4,-6.6,150.0,6.0
2020-02-10 00:00:00,2020-02-10,0,1002.0,139.0,3.6,-0.6,160.0,6.0
2020-02-10 12:00:00,2020-02-10,12,988.0,139.0,13.8,4.8,240.0,17.0
2020-02-11 00:00:00,2020-02-11,0,990.0,139.0,3.6,1.2,180.0,4.0
2020-02-11 12:00:00,2020-02-11,12,989.0,139.0,9.8,-3.2,300.0,19.0
2020-02-12 00:00:00,2020-02-12,0,996.0,139.0,1.0,-0.6,200.0,4.0
2020-02-12 12:00:00,2020-02-12,12,1001.0,139.0,6.6,-3.4,270.0,16.0
2020-02-13 00:00:00,2020-02-13,0,1004.0,139.0,3.6,0.1,260.0,4.0
2020-02-13 12:00:00,2020-02-13,12,1006.0,139.0,7.8,-1.2,180.0,4.0
2020-02-14 00:00:00,2020-02-14,0,996.0,139.0,5.4,-0.6,160.0,4.0
2020-02-14 12:00:00,2020-02-14,12,999.0,139.0,9.6,3.6,300.0,10.0
2020-02-15 00:00:00,2020-02-15,0,1008.0,139.0,6.4,2.3,320.0,8.0
2020-02-15 12:00:00,2020-02-15,12,1012.0,139.0,8.4,2.4,100.0,6.0
2020-02-16 00:00:00,2020-02-16,0,1013.0,139.0,2.4,0.8,90.0,4.0
2020-02-16 12:00:00,2020-02-16,12,1013.0,139.0,10.0,3.0,180.0,8.0
2020-02-17 00:00:00,2020-02-17,0,1008.0,139.0,3.4,1.6,80.0,4.0
2020-02-17 12:00:00,2020-02-17,12,1005.0,139.0,10.4,2.4,0.0,2.0
2020-02-18 00:00:00,2020-02-18,0,1002.0,139.0,4.4,2.3,350.0,2.0
2020-02-18 12:00:00,2020-02-18,12,1007.0,139.0,11.8,1.8,310.0,12.0
2020-02-19 00:00:00,2020-02-19,0,1009.0,139.0,5.2,-1.8,310.0,4.0
2020-02-19 12:00:00,2020-02-19,12,1004.0,139.0,9.0,0.0,220.0,4.0
2020-02-20 00:00:00,2020-02-20,0,1003.0,139.0,4.8,0.8,310.0,10.0
2020-02-20 12:00:00,2020-02-20,12,1006.0,139.0,8.4,-0.6,340.0,8.0
2020-02-21 00:00:00,2020-02-21,0,1006.0,139.0,-1.1,-3.9,130.0,4.0
2020-02-21 12:00:00,2020-02-21,12,1005.0,139.0,6.0,1.5,310.0,14.0
2020-02-22 00:00:00,2020-02-22,0,1012.0,139.0,3.4,-2.6,330.0,8.0
2020-02-22 12:00:00,2020-02-22,12,1014.0,139.0,9.0,-2.0,230.0,8.0
2020-02-23 00:00:00,2020-02-23,0,1008.0,139.0,3.8,-2.2,160.0,4.0
2020-02-23 12:00:00,2020-02-23,12,1003.0,139.0,13.4,3.4,310.0,12.0
2020-02-24 00:00:00,2020-02-24,0,992.0,139.0,10.6,2.6,180.0,6.0
2020-02-24 12:00:00,2020-02-24,12,1005.0,139.0,10.2,-2.8,280.0,10.0
2020-02-25 00:00:00,2020-02-25,0,999.0,139.0,5.4,-1.6,170.0,4.0
2020-02-25 12:00:00,2020-02-25,12,991.0,139.0,14.4,3.4,210.0,6.0
2020-02-26 00:00:00,2020-02-26,0,984.0,139.0,8.6,5.5,230.0,4.0
2020-02-26 12:00:00,2020-02-26,12,981.0,139.0,7.4,5.0,290.0,8.0
2020-02-27 00:00:00,2020-02-27,0,985.0,139.0,4.0,-1.0,310.0,10.0
2020-02-27 12:00:00,2020-02-27,12,991.0,139.0,6.8,-2.2,310.0,8.0
2020-02-28 00:00:00,2020-02-28,0,985.0,139.0,4.4,-2.6,180.0,10.0
2020-02-28 12:00:00,2020-02-28,12,992.0,139.0,6.2,0.2,330.0,12.0
2020-02-29 00:00:00,2020-02-29,0,1003.0,139.0,2.6,-1.7,320.0,4.0
2020-02-29 12:00:00,2020-02-29,12,999.0,139.0,6.8,-2.2,170.0,12.0
