datetime,date,hour_utc,pressure_hPa,height_m,temp_c,dewpoint_c,wind_dir_deg,wind_speed_m_s
2022-10-01 00:00:00,2022-10-01,0,999.0,139.0,13.2,13.0,115.0,2.0
2022-10-01 12:00:00,2022-10-01,12,996.0,139.0,18.4,15.5,195.0,4.0
2022-10-02 00:00:00,2022-10-02,0,997.0,139.0,12.6,9.1,305.0,4.0
2022-10-02 12:00:00,2022-10-02,12,1002.0,139.0,17.0,8.0,280.0,12.0
2022-10-03 00:00:00,2022-10-03,0,999.0,139.0,13.4,10.2,0.0,4.0
2022-10-03 12:00:00,2022-10-03,12,1001.0,139.0,15.4,7.4,295.0,12.0
2022-10-04 00:00:00,2022-10-04,0,1003.0,139.0,11.6,6.6,315.0,4.0
2022-10-04 12:00:00,2022-10-04,12,1005.0,139.0,15.6,7.6,285.0,6.0
2022-10-05 00:00:00,2022-10-05,0,1010.0,139.0,6.6,6.2,0.0,0.0
2022-10-05 12:00:00,2022-10-05,12,1012.0,139.0,16.6,9.6,165.0,4.0
2022-10-06 00:00:00,2022-10-06,0,1011.0,139.0,9.4,8.0,115.0,2.0
2022-10-06 12:00:00,2022-10-06,12,1012.0,139.0,18.0,10.0,260.0,2.0
2022-10-07 00:00:00,2022-10-07,0,1013.0,139.0,12.0,10.9,0.0,2.0
2022-10-07 12:00:00,2022-10-07,12,1011.0,139.0,20.4,11.4,15.0,4.0
2022-10-08 00:00:00,2022-10-08,0,1007.0,139.0,11.2,10.0,105.0,4.0
2022-10-08 12:00:00,2022-10-08,12,1004.0,139.0,19.4,9.4,120.0,2.0
2022-10-09 00:00:00,2022-10-09,0,1005.0,139.0,12.0,10.4,330.0,2.0
2022-10-09 12:00:00,2022-10-09,12,1008.0,139.0,19.6,10.6,70.0,2.0
2022-10-10 00:00:00,2022-10-10,0,1009.0,139.0,11.0,4.0,85.0,6.0
2022-10-10 12:00:00,2022-10-10,12,1008.0,139.0,17.0,5.0,115.0,4.0
2022-10-11 00:00:00,2022-10-11,0,1006.0,139.0,11.6,7.7,325.0,2.0
2022-10-11 12:00:00,2022-10-11,12,1006.0,139.0,18.4,10.4,75.0,4.0
2022-10-12 00:00:00,2022-10-12,0,1007.0,139.0,12.6,11.0,15.0,2.0
2022-10-12 12:00:00,2022-10-12,12,1008.0,139.0,17.4,9.4,150.0,4.0
2022-10-13 00:00:00,2022-10-13,0,1008.0,139.0,10.8,9.7,355.0,2.0
2022-10-13 12:00:00,2022-10-13,12,1006.0,139.0,18.0,9.0,135.0,4.0
2022-10-14 00:00:00,2022-10-14,0,1004.0,139.0,9.0,8.4,5.0,2.0
2022-10-14 12:00:00,2022-10-14,12,1003.0,139.0,18.4,10.4,195.0,2.0
2022-10-15 00:00:00,2022-10-15,0,1002.0,139.0,9.0,8.6,0.0,0.0
2022-10-15 12:00:00,2022-10-15,12,1002.0,139.0,18.4,9.4,135.0,6.0
2022-10-16 00:00:00,2022-10-16,0,1004.0,139.0,14.2,9.2,105.0,2.0
2022-10-16 12:00:00,2022-10-16,12,1008.0,139.0,19.2,8.2,120.0,4.0
2022-10-17 00:00:00,2022-10-17,0,1013.0,139.0,11.0,8.1,15.0,2.0
2022-10-17 12:00:00,2022-10-17,12,1015.0,139.0,20.2,8.2,175.0,2.0
2022-10-18 00:00:00,2022-10-18,0,1015.0,139.0,10.0,7.4,0.0,0.0
2022-10-18 12:00:00,2022-10-18,12,1011.0,139.0,19.2,5.2,125.0,6.0
2022-10-19 00:00:00,2022-10-19,0,1006.0,139.0,9.6,6.7,315.0,2.0
2022-10-19 12:00:00,2022-10-19,12,1005.0,139.0,19.2,9.2,320.0,8.0
2022-10-20 00:00:00,2022-10-20,0,1008.0,139.0,8.2,3.7,10.0,4.0
