datetime,date,hour_utc,pressure_hPa,height_m,temp_c,dewpoint_c,wind_dir_deg,wind_speed_m_s
2019-08-01 00:00:00,2019-08-01,0,998.0,139.0,21.8,17.8,310.0,2.0
2019-08-01 12:00:00,2019-08-01,12,998.0,139.0,28.2,18.2,330.0,6.0
2019-08-02 00:00:00,2019-08-02,0,998.0,139.0,18.8,12.8,270.0,2.0
2019-08-02 12:00:00,2019-08-02,12,996.0,139.0,25.6,15.6,0.0,4.0
2019-08-03 00:00:00,2019-08-03,0,994.0,139.0,18.6,17.6,320.0,2.0
2019-08-03 12:00:00,2019-08-03,12,994.0,139.0,23.8,14.8,320.0,4.0
2019-08-04 00:00:00,2019-08-04,0,996.0,139.0,17.4,12.9,340.0,4.0
2019-08-04 12:00:00,2019-08-04,12,998.0,139.0,24.2,10.2,20.0,4.0
2019-08-05 00:00:00,2019-08-05,0,1000.0,139.0,15.4,12.5,220.0,2.0
2019-08-05 12:00:00,2019-08-05,12,998.0,139.0,27.0,14.0,230.0,8.0
2019-08-06 00:00:00,2019-08-06,0,998.0,139.0,19.4,15.5,130.0,2.0
2019-08-06 12:00:00,2019-08-06,12,998.0,139.0,28.0,18.0,220.0,6.0
2019-08-07 00:00:00,2019-08-07,0,996.0,139.0,20.0,18.0,90.0,2.0
2019-08-09 00:00:00,2019-08-09,0,999.0,139.0,20.0,17.2,310.0,4.0
2019-08-09 12:00:00,2019-08-09,12,998.0,139.0,29.6,14.6,220.0,6.0
2019-08-10 00:00:00,2019-08-10,0,998.0,139.0,20.4,17.6,140.0,2.0
2019-08-10 12:00:00,2019-08-10,12,999.0,139.0,31.4,19.4,190.0,6.0
2019-08-11 00:00:00,2019-08-11,0,1000.0,139.0,24.4,18.4,330.0,2.0
2019-08-11 12:00:00,2019-08-11,12,1001.0,139.0,30.0,11.0,300.0,2.0
2019-08-12 00:00:00,2019-08-12,0,999.0,139.0,22.2,16.2,90.0,2.0
2019-08-12 12:00:00,2019-08-12,12,998.0,139.0,32.8,17.8,210.0,4.0
2019-08-13 00:00:00,2019-08-13,0,995.0,139.0,24.6,20.1,250.0,2.0
2019-08-13 12:00:00,2019-08-13,12,998.0,139.0,24.6,16.6,320.0,8.0
2019-08-14 00:00:00,2019-08-14,0,996.0,139.0,19.2,17.9,320.0,2.0
2019-08-14 12:00:00,2019-08-14,12,998.0,139.0,19.0,14.0,320.0,10.0
2019-08-15 00:00:00,2019-08-15,0,1001.0,139.0,12.8,12.3,250.0,2.0
2019-08-15 12:00:00,2019-08-15,12,1000.0,139.0,22.6,6.6,80.0,4.0
2019-08-16 00:00:00,2019-08-16,0,1000.0,139.0,14.2,11.5,50.0,4.0
2019-08-16 12:00:00,2019-08-16,12,1000.0,139.0,24.6,13.6,290.0,6.0
2019-08-17 00:00:00,2019-08-17,0,1000.0,139.0,16.0,12.9,210.0,2.0
2019-08-17 12:00:00,2019-08-17,12,1001.0,139.0,24.6,11.6,270.0,4.0
2019-08-18 00:00:00,2019-08-18,0,999.0,139.0,16.0,13.7,110.0,4.0
2019-08-18 12:00:00,2019-08-18,12,999.0,139.0,28.4,14.4,200.0,6.0
2019-08-19 00:00:00,2019-08-19,0,999.0,139.0,18.8,14.9,110.0,4.0
2019-08-19 12:00:00,2019-08-19,12,1001.0,139.0,31.0,15.0,180.0,4.0
2019-08-20 00:00:00,2019-08-20,0,1001.0,139.0,20.2,15.6,30.0,2.0
2019-08-20 12:00:00,2019-08-20,12,1003.0,139.0,32.0,17.0,210.0,6.0
2019-08-21 00:00:00,2019-08-21,0,1001.0,139.0,22.6,16.6,70.0,4.0
2019-08-21 12:00:00,2019-08-21,12,1005.0,139.0,27.8,16.8,310.0,8.0
2019-08-22 00:00:00,2019-08-22,0,1007.0,139.0,18.6,11.6,320.0,2.0
2019-08-22 12:00:00,2019-08-22,12,1007.0,139.0,28.0,16.0,60.0,4.0
2019-08-23 00:00:00,2019-08-23,0,1008.0,139.0,21.0,17.4,0.0,2.0
2019-08-23 12:00:00,2019-08-23,12,1007.0,139.0,29.2,17.2,0.0,4.0
2019-08-24 00:00:00,2019-08-24,0,1006.0,139.0,21.4,16.6,350.0,4.0
2019-08-24 12:00:00,2019-08-24,12,1005.0,139.0,30.2,17.2,90.0,6.0
2019-08-25 00:00:00,2019-08-25,0,1003.0,139.0,25.0,18.0,60.0,4.0
2019-08-25 12:00:00,2019-08-25,12,1004.0,139.0,30.4,16.4,140.0,4.0
2019-08-26 00:00:00,2019-08-26,0,1003.0,139.0,23.4,17.4,30.0,6.0
