datetime,date,hour_utc,pressure_hPa,height_m,temp_c,dewpoint_c,wind_dir_deg,wind_speed_m_s
2010-01-01 00:00:00,2010-01-01,0,978.0,139.0,4.2,3.8,70.0,4.0
2010-01-01 12:00:00,2010-01-01,12,974.0,139.0,6.0,4.3,310.0,4.0
2010-01-02 00:00:00,2010-01-02,0,978.0,139.0,3.0,2.6,320.0,2.0
2010-01-02 12:00:00,2010-01-02,12,986.0,139.0,3.6,-1.0,320.0,14.0
2010-01-03 00:00:00,2010-01-03,0,994.0,139.0,-1.7,-3.0,320.0,12.0
2010-01-03 12:00:00,2010-01-03,12,998.0,139.0,-0.7,-6.7,310.0,12.0
2010-01-04 00:00:00,2010-01-04,0,1003.0,139.0,-4.5,-10.5,320.0,4.0
2010-01-04 12:00:00,2010-01-04,12,1004.0,139.0,-2.1,-9.1,130.0,4.0
2010-01-05 00:00:00,2010-01-05,0,1000.0,139.0,-5.7,-8.6,60.0,6.0
2010-01-05 12:00:00,2010-01-05,12,996.0,139.0,-3.7,-7.5,80.0,4.0
2010-01-06 00:00:00,2010-01-06,0,989.0,139.0,-2.7,-4.0,70.0,8.0
2010-01-06 12:00:00,2010-01-06,12,983.0,139.0,0.0,-1.4,20.0,2.0
2010-01-07 00:00:00,2010-01-07,0,989.0,139.0,-0.5,-2.2,220.0,2.0
2010-01-07 12:00:00,2010-01-07,12,995.0,139.0,-0.3,-1.6,220.0,2.0
2010-01-08 00:00:00,2010-01-08,0,1001.0,139.0,-2.5,-3.0,110.0,2.0
2010-01-08 12:00:00,2010-01-08,12,996.0,139.0,1.4,0.1,80.0,8.0
2010-01-09 00:00:00,2010-01-09,0,988.0,139.0,4.8,2.8,70.0,6.0
2010-01-09 12:00:00,2010-01-09,12,988.0,139.0,7.8,4.7,100.0,6.0
2010-01-10 00:00:00,2010-01-10,0,986.0,139.0,6.8,6.4,130.0,2.0
2010-01-10 12:00:00,2010-01-10,12,991.0,139.0,3.2,2.6,200.0,2.0
2010-01-11 00:00:00,2010-01-11,0,994.0,139.0,1.4,-1.5,320.0,6.0
2010-01-11 12:00:00,2010-01-11,12,998.0,139.0,3.8,-3.2,340.0,4.0
2010-01-12 00:00:00,2010-01-12,0,1000.0,139.0,-0.9,-5.9,340.0,4.0
2010-01-12 12:00:00,2010-01-12,12,1000.0,139.0,2.0,-4.0,330.0,4.0
2010-01-13 00:00:00,2010-01-13,0,998.0,139.0,-0.3,-2.8,200.0,2.0
2010-01-13 12:00:00,2010-01-13,12,998.0,139.0,0.0,-3.2,200.0,2.0
2010-01-14 00:00:00,2010-01-14,0,999.0,139.0,-0.1,-2.6,250.0,2.0
2010-01-14 12:00:00,2010-01-14,12,1000.0,139.0,1.2,-3.1,180.0,2.0
2010-01-15 00:00:00,2010-01-15,0,1003.0,139.0,-0.1,-2.8,100.0,2.0
2010-01-15 12:00:00,2010-01-15,12,1008.0,139.0,0.0,-2.7,50.0,4.0
2010-01-16 00:00:00,2010-01-16,0,1013.0,139.0,-4.7,-5.5,40.0,2.0
2010-01-16 12:00:00,2010-01-16,12,1014.0,139.0,0.6,-3.1,140.0,6.0
2010-01-18 00:00:00,2010-01-18,0,1008.0,139.0,-1.7,-2.8,100.0,6.0
2010-01-18 12:00:00,2010-01-18,12,1008.0,139.0,-0.1,-2.0,60.0,2.0
2010-01-19 00:00:00,2010-01-19,0,1008.0,139.0,-1.9,-2.6,340.0,4.0
2010-01-19 12:00:00,2010-01-19,12,1005.0,139.0,1.6,-1.8,320.0,2.0
2010-01-20 00:00:00,2010-01-20,0,1003.0,139.0,-1.3,-1.7,200.0,2.0
2010-01-20 12:00:00,2010-01-20,12,999.0,139.0,0.2,-0.9,180.0,2.0
2010-01-21 00:00:00,2010-01-21,0,1000.0,139.0,-2.7,-4.0,70.0,4.0
2010-01-21 12:00:00,2010-01-21,12,1005.0,139.0,-2.5,-5.3,30.0,6.0
2010-01-22 00:00:00,2010-01-22,0,1008.0,139.0,-2.3,-5.4,350.0,2.0
2010-01-22 12:00:00,2010-01-22,12,1009.0,139.0,-2.9,-6.9,140.0,2.0
2010-01-23 00:00:00,2010-01-23,0,1012.0,139.0,-3.5,-6.6,330.0,2.0
2010-01-23 12:00:00,2010-01-23,12,1012.0,139.0,-0.9,-8.9,70.0,4.0
2010-01-24 00:00:00,2010-01-24,0,1014.0,139.0,-6.9,-8.5,130.0,2.0
2010-01-24 12:00:00,2010-01-24,12,1015.0,139.0,-3.9,-8.7,50.0,2.0
2010-01-25 00:00:00,2010-01-25,0,1017.0,139.0,-9.3,-11.1,70.0,2.0
2010-01-25 12:00:00,2010-01-25,12,1019.0,139.0,-3.9,-10.9,80.0,4.0
2010-01-26 00:00:00,2010-01-26,0,1019.0,139.0,-8.1,-10.6,110.0,2.0
2010-01-26 12:00:00,2010-01-26,12,1017.0,139.0,-3.5,-13.5,50.0,4.0
2010-01-27 00:00:00,2010-01-27,0,1017.0,139.0,-7.7,-11.3,220.0,2.0
2010-01-27 12:00:00,2010-01-27,12,1012.0,139.0,-4.5,-11.5,220.0,2.0
2010-01-28 00:00:00,2010-01-28,0,1000.0,139.0,-12.5,-16.8,200.0,2.0
2010-01-28 12:00:00,2010-01-28,12,988.0,139.0,-6.9,-9.3,200.0,6.0
2010-01-29 00:00:00,2010-01-29,0,985.0,139.0,-6.3,-8.7,180.0,2.0
2010-01-29 12:00:00,2010-01-29,12,984.0,139.0,-0.9,-6.9,200.0,2.0
