datetime,date,hour_utc,pressure_hPa,height_m,temp_c,dewpoint_c,wind_dir_deg,wind_speed_m_s
2022-05-01 00:00:00,2022-05-01,0,1003.0,139.0,12.6,4.6,60.0,2.0
2022-05-01 12:00:00,2022-05-01,12,1003.0,139.0,20.2,4.2,35.0,10.0
2022-05-02 00:00:00,2022-05-02,0,1001.0,139.0,13.0,5.0,15.0,2.0
2022-05-02 12:00:00,2022-05-02,12,1000.0,139.0,20.4,7.4,215.0,4.0
2022-05-03 00:00:00,2022-05-03,0,998.0,139.0,11.4,7.9,15.0,2.0
2022-05-03 12:00:00,2022-05-03,12,998.0,139.0,18.6,7.6,260.0,6.0
2022-05-04 00:00:00,2022-05-04,0,1000.0,139.0,11.0,8.9,135.0,2.0
2022-05-04 12:00:00,2022-05-04,12,1001.0,139.0,20.0,8.0,95.0,6.0
2022-05-05 00:00:00,2022-05-05,0,1002.0,139.0,12.6,11.3,0.0,0.0
2022-05-05 12:00:00,2022-05-05,12,1004.0,139.0,22.4,9.4,150.0,2.0
2022-05-06 00:00:00,2022-05-06,0,1004.0,139.0,14.6,8.6,0.0,0.0
2022-05-06 12:00:00,2022-05-06,12,1005.0,139.0,21.4,9.4,125.0,12.0
2022-05-07 00:00:00,2022-05-07,0,1004.0,139.0,15.8,10.8,75.0,4.0
2022-05-07 12:00:00,2022-05-07,12,1004.0,139.0,22.2,9.2,135.0,6.0
2022-05-08 00:00:00,2022-05-08,0,1005.0,139.0,14.4,10.0,25.0,4.0
2022-05-08 12:00:00,2022-05-08,12,1005.0,139.0,21.8,9.8,115.0,6.0
2022-05-09 00:00:00,2022-05-09,0,1006.0,139.0,15.2,9.2,350.0,4.0
2022-05-09 12:00:00,2022-05-09,12,1007.0,139.0,17.4,8.4,95.0,2.0
2022-05-10 00:00:00,2022-05-10,0,1007.0,139.0,14.0,11.7,325.0,4.0
2022-05-10 12:00:00,2022-05-10,12,1005.0,139.0,21.4,9.4,265.0,6.0
2022-05-11 00:00:00,2022-05-11,0,1003.0,139.0,11.6,8.5,0.0,0.0
2022-05-11 12:00:00,2022-05-11,12,1002.0,139.0,25.0,7.0,115.0,2.0
2022-05-12 00:00:00,2022-05-12,0,1001.0,139.0,15.4,11.0,125.0,4.0
2022-05-12 12:00:00,2022-05-12,12,1001.0,139.0,28.2,13.2,255.0,6.0
2022-05-13 00:00:00,2022-05-13,0,1001.0,139.0,21.6,12.6,355.0,2.0
2022-05-13 12:00:00,2022-05-13,12,1002.0,139.0,23.4,14.4,10.0,8.0
2022-05-14 00:00:00,2022-05-14,0,1000.0,139.0,19.0,12.0,275.0,4.0
2022-05-14 12:00:00,2022-05-14,12,1002.0,139.0,22.4,7.4,295.0,14.0
2022-05-15 00:00:00,2022-05-15,0,1002.0,139.0,12.4,7.4,305.0,2.0
2022-05-15 12:00:00,2022-05-15,12,1003.0,139.0,25.2,6.2,355.0,10.0
2022-05-16 00:00:00,2022-05-16,0,1002.0,139.0,17.4,6.4,330.0,2.0
2022-05-16 12:00:00,2022-05-16,12,1002.0,139.0,25.6,7.6,215.0,2.0
2022-05-17 00:00:00,2022-05-17,0,1000.0,139.0,18.4,12.4,340.0,2.0
2022-05-17 12:00:00,2022-05-17,12,1000.0,139.0,18.2,13.3,345.0,2.0
2022-05-18 00:00:00,2022-05-18,0,1003.0,139.0,14.8,13.2,340.0,4.0
2022-05-18 12:00:00,2022-05-18,12,1010.0,139.0,19.0,-4.0,30.0,2.0
2022-05-20 00:00:00,2022-05-20,0,1008.0,139.0,9.6,5.4,105.0,2.0
2022-05-20 12:00:00,2022-05-20,12,1006.0,139.0,26.0,8.0,250.0,8.0
