datetime,date,hour_utc,pressure_hPa,height_m,temp_c,dewpoint_c,wind_dir_deg,wind_speed_m_s
2023-02-01 00:00:00,2023-02-01,0,1000.0,139.0,2.2,0.6,275.0,4.0
2023-02-01 12:00:00,2023-02-01,12,999.0,139.0,6.8,0.8,265.0,8.0
2023-02-02 00:00:00,2023-02-02,0,998.0,139.0,3.4,1.4,205.0,6.0
2023-02-02 12:00:00,2023-02-02,12,999.0,139.0,7.4,-1.6,305.0,17.0
2023-02-03 00:00:00,2023-02-03,0,1005.0,139.0,3.0,-1.0,270.0,6.0
2023-02-03 12:00:00,2023-02-03,12,1005.0,139.0,0.2,0.1,210.0,4.0
2023-02-04 00:00:00,2023-02-04,0,997.0,139.0,5.2,0.6,305.0,6.0
2023-02-04 12:00:00,2023-02-04,12,1003.0,139.0,4.8,-5.2,10.0,14.0
2023-02-05 00:00:00,2023-02-05,0,1013.0,139.0,-0.9,-6.9,300.0,10.0
2023-02-05 12:00:00,2023-02-05,12,1017.0,139.0,0.2,-9.8,300.0,8.0
2023-02-06 00:00:00,2023-02-06,0,1020.0,139.0,-4.7,-9.7,35.0,4.0
2023-02-06 12:00:00,2023-02-06,12,1020.0,139.0,-0.5,-10.5,25.0,4.0
2023-02-07 00:00:00,2023-02-07,0,1022.0,139.0,-5.3,-8.7,350.0,2.0
2023-02-07 12:00:00,2023-02-07,12,1022.0,139.0,0.0,-10.0,130.0,6.0
2023-02-08 00:00:00,2023-02-08,0,1023.0,139.0,-3.7,-7.1,350.0,8.0
2023-02-08 12:00:00,2023-02-08,12,1025.0,139.0,3.0,-6.0,145.0,8.0
2023-02-09 00:00:00,2023-02-09,0,1026.0,139.0,-3.9,-7.3,40.0,4.0
2023-02-09 12:00:00,2023-02-09,12,1023.0,139.0,2.2,-7.8,180.0,2.0
2023-02-10 00:00:00,2023-02-10,0,1021.0,139.0,-5.7,-8.0,0.0,0.0
2023-02-10 12:00:00,2023-02-10,12,1021.0,139.0,1.8,-6.2,260.0,12.0
2023-02-11 00:00:00,2023-02-11,0,1021.0,139.0,-3.9,-6.2,140.0,2.0
2023-02-11 12:00:00,2023-02-11,12,1016.0,139.0,4.2,-4.8,210.0,4.0
2023-02-12 00:00:00,2023-02-12,0,1012.0,139.0,5.0,0.6,315.0,4.0
2023-02-12 12:00:00,2023-02-12,12,1018.0,139.0,9.0,2.0,0.0,0.0
2023-02-13 00:00:00,2023-02-13,0,1021.0,139.0,-0.5,-3.2,45.0,2.0
2023-02-13 12:00:00,2023-02-13,12,1020.0,139.0,6.6,-1.4,265.0,2.0
2023-02-14 00:00:00,2023-02-14,0,1017.0,139.0,2.0,0.1,275.0,2.0
2023-02-14 12:00:00,2023-02-14,12,1017.0,139.0,7.8,-0.2,250.0,2.0
2023-02-15 00:00:00,2023-02-15,0,1017.0,139.0,-0.1,-1.4,0.0,0.0
2023-02-15 12:00:00,2023-02-15,12,1016.0,139.0,7.2,0.2,140.0,4.0
2023-02-16 00:00:00,2023-02-16,0,1014.0,139.0,-1.3,-1.7,85.0,2.0
2023-02-16 12:00:00,2023-02-16,12,1012.0,139.0,5.8,1.5,190.0,4.0
2023-02-17 00:00:00,2023-02-17,0,1009.0,139.0,1.2,0.0,0.0,0.0
2023-02-17 12:00:00,2023-02-17,12,1007.0,139.0,8.8,0.8,230.0,4.0
2023-02-18 00:00:00,2023-02-18,0,1003.0,139.0,10.4,3.4,260.0,10.0
2023-02-18 12:00:00,2023-02-18,12,1003.0,139.0,15.2,7.2,315.0,6.0
2023-02-19 00:00:00,2023-02-19,0,1000.0,139.0,12.8,4.8,280.0,14.0
2023-02-19 12:00:00,2023-02-19,12,999.0,139.0,13.0,8.1,205.0,10.0
2023-02-20 00:00:00,2023-02-20,0,1006.0,139.0,5.4,-3.6,340.0,6.0
2023-02-20 12:00:00,2023-02-20,12,1007.0,139.0,8.0,3.3,265.0,6.0
2023-02-21 00:00:00,2023-02-21,0,999.0,139.0,7.4,4.0,255.0,8.0
2023-02-21 12:00:00,2023-02-21,12,999.0,139.0,14.0,5.0,305.0,14.0
2023-02-22 00:00:00,2023-02-22,0,1000.0,139.0,9.4,4.4,285.0,4.0
2023-02-22 12:00:00,2023-02-22,12,1000.0,139.0,11.4,5.4,0.0,0.0
2023-02-23 00:00:00,2023-02-23,0,1000.0,139.0,7.2,1.2,50.0,6.0
2023-02-23 12:00:00,2023-02-23,12,1001.0,139.0,9.0,0.0,75.0,4.0
2023-02-24 00:00:00,2023-02-24,0,998.0,139.0,7.2,1.2,125.0,4.0
2023-02-24 12:00:00,2023-02-24,12,992.0,139.0,12.8,5.8,275.0,6.0
2023-02-25 00:00:00,2023-02-25,0,984.0,139.0,7.4,5.0,205.0,4.0
2023-02-25 12:00:00,2023-02-25,12,984.0,139.0,7.8,-1.2,295.0,8.0
2023-02-26 00:00:00,2023-02-26,0,987.0,139.0,4.2,-1.8,315.0,6.0
2023-02-26 12:00:00,2023-02-26,12,993.0,139.0,5.0,-2.0,40.0,6.0
2023-02-27 00:00:00,2023-02-27,0,999.0,139.0,0.8,-6.2,0.0,4.0
2023-02-27 12:00:00,2023-02-27,12,1005.0,139.0,4.2,-7.8,145.0,6.0
2023-02-28 00:00:00,2023-02-28,0,1011.0,139.0,-0.7,-6.7,0.0,4.0
2023-02-28 12:00:00,2023-02-28,12,1011.0,139.0,4.4,-4.6,60.0,6.0
