datetime,date,hour_utc,pressure_hPa,height_m,temp_c,dewpoint_c,wind_dir_deg,wind_speed_m_s
2024-09-01 00:00:00,2024-09-01,0,1002.0,139.0,23.8,11.8,345.0,4.0
2024-09-01 12:00:00,2024-09-01,12,999.0,139.0,32.4,11.4,105.0,4.0
2024-09-02 00:00:00,2024-09-02,0,998.0,139.0,21.0,12.0,0.0,2.0
2024-09-02 12:00:00,2024-09-02,12,998.0,139.0,32.0,11.0,115.0,6.0
2024-09-03 00:00:00,2024-09-03,0,999.0,139.0,22.4,12.4,30.0,4.0
2024-09-03 12:00:00,2024-09-03,12,1000.0,139.0,32.0,12.0,135.0,4.0
2024-09-04 00:00:00,2024-09-04,0,1000.0,139.0,23.0,11.0,30.0,2.0
2024-09-04 12:00:00,2024-09-04,12,999.0,139.0,33.2,9.2,85.0,6.0
2024-09-05 00:00:00,2024-09-05,0,998.0,139.0,24.4,9.4,50.0,10.0
2024-09-05 12:00:00,2024-09-05,12,998.0,139.0,29.4,7.4,40.0,12.0
2024-09-06 00:00:00,2024-09-06,0,997.0,139.0,21.8,6.8,55.0,2.0
2024-09-06 12:00:00,2024-09-06,12,998.0,139.0,28.2,12.2,165.0,6.0
2024-09-07 00:00:00,2024-09-07,0,999.0,139.0,21.4,12.4,5.0,2.0
2024-09-07 12:00:00,2024-09-07,12,1001.0,139.0,29.0,14.0,150.0,2.0
2024-09-08 00:00:00,2024-09-08,0,1000.0,139.0,22.0,14.0,90.0,6.0
2024-09-08 12:00:00,2024-09-08,12,998.0,139.0,30.6,10.6,170.0,6.0
2024-09-09 00:00:00,2024-09-09,0,993.0,139.0,23.0,9.0,125.0,6.0
2024-09-09 12:00:00,2024-09-09,12,989.0,139.0,17.8,11.8,80.0,4.0
2024-09-10 00:00:00,2024-09-10,0,989.0,139.0,15.8,15.6,350.0,4.0
2024-09-10 12:00:00,2024-09-10,12,991.0,139.0,21.4,13.4,330.0,8.0
2024-09-11 00:00:00,2024-09-11,0,993.0,139.0,15.2,13.9,310.0,2.0
2024-09-11 12:00:00,2024-09-11,12,992.0,139.0,23.6,10.6,280.0,6.0
2024-09-12 00:00:00,2024-09-12,0,992.0,139.0,13.0,11.7,0.0,0.0
2024-09-12 12:00:00,2024-09-12,12,992.0,139.0,20.8,12.8,325.0,2.0
2024-09-13 00:00:00,2024-09-13,0,990.0,139.0,13.4,11.3,340.0,4.0
2024-09-13 12:00:00,2024-09-13,12,986.0,139.0,16.4,15.9,60.0,6.0
2024-09-14 00:00:00,2024-09-14,0,990.0,139.0,9.4,8.0,225.0,4.0
2024-09-14 12:00:00,2024-09-14,12,990.0,139.0,12.0,9.4,195.0,4.0
2024-09-15 00:00:00,2024-09-15,0,986.0,139.0,10.0,9.9,95.0,4.0
2024-09-15 12:00:00,2024-09-15,12,993.0,139.0,11.6,9.7,330.0,2.0
