datetime,date,hour_utc,pressure_hPa,height_m,temp_c,dewpoint_c,wind_dir_deg,wind_speed_m_s
2021-11-01 00:00:00,2021-11-01,0,999.0,139.0,4.8,2.3,115.0,4.0
2021-11-01 12:00:00,2021-11-01,12,995.0,139.0,13.0,5.0,60.0,4.0
2021-11-02 00:00:00,2021-11-02,0,989.0,139.0,10.4,5.4,90.0,8.0
2021-11-02 12:00:00,2021-11-02,12,985.0,139.0,6.8,6.2,75.0,2.0
2021-11-03 00:00:00,2021-11-03,0,992.0,139.0,4.2,4.1,240.0,2.0
2021-11-03 12:00:00,2021-11-03,12,994.0,139.0,12.0,7.5,85.0,6.0
2021-11-04 00:00:00,2021-11-04,0,990.0,139.0,10.4,8.0,100.0,6.0
2021-11-04 12:00:00,2021-11-04,12,990.0,139.0,14.2,13.6,170.0,4.0
2021-11-05 00:00:00,2021-11-05,0,999.0,139.0,6.8,5.0,0.0,0.0
2021-11-05 12:00:00,2021-11-05,12,1004.0,139.0,11.2,2.2,320.0,4.0
2021-11-06 00:00:00,2021-11-06,0,1009.0,139.0,7.0,1.0,315.0,2.0
2021-11-06 12:00:00,2021-11-06,12,1013.0,139.0,11.8,1.8,225.0,4.0
2021-11-07 00:00:00,2021-11-07,0,1010.0,139.0,7.8,3.7,0.0,0.0
2021-11-07 12:00:00,2021-11-07,12,1004.0,139.0,9.6,5.6,170.0,2.0
2021-11-08 00:00:00,2021-11-08,0,1001.0,139.0,7.8,6.3,230.0,4.0
2021-11-08 12:00:00,2021-11-08,12,1004.0,139.0,9.8,3.8,340.0,6.0
2021-11-09 00:00:00,2021-11-09,0,1007.0,139.0,2.2,1.2,340.0,2.0
2021-11-09 12:00:00,2021-11-09,12,1014.0,139.0,12.0,3.0,150.0,2.0
2021-11-10 00:00:00,2021-11-10,0,1019.0,139.0,2.0,1.6,60.0,6.0
2021-11-10 12:00:00,2021-11-10,12,1017.0,139.0,7.4,3.6,125.0,4.0
2021-11-11 00:00:00,2021-11-11,0,1015.0,139.0,2.6,2.6,40.0,2.0
2021-11-11 12:00:00,2021-11-11,12,1011.0,139.0,8.6,2.6,100.0,8.0
2021-11-12 00:00:00,2021-11-12,0,1008.0,139.0,2.4,2.0,0.0,2.0
2021-11-12 12:00:00,2021-11-12,12,1006.0,139.0,10.6,2.6,0.0,2.0
2021-11-13 00:00:00,2021-11-13,0,1005.0,139.0,0.6,0.6,190.0,2.0
