datetime,date,hour_utc,pressure_hPa,height_m,temp_c,dewpoint_c,wind_dir_deg,wind_speed_m_s
2014-07-01 00:00:00,2014-07-01,0,995.0,139.0,16.2,11.2,300.0,10.0
2014-07-01 12:00:00,2014-07-01,12,1001.0,139.0,22.4,7.4,300.0,8.0
2014-07-02 00:00:00,2014-07-02,0,1004.0,139.0,14.2,9.2,120.0,4.0
2014-07-02 12:00:00,2014-07-02,12,1004.0,139.0,26.8,6.8,210.0,6.0
2014-07-03 00:00:00,2014-07-03,0,1003.0,139.0,17.8,15.6,330.0,8.0
2014-07-03 12:00:00,2014-07-03,12,1007.0,139.0,24.0,6.0,320.0,10.0
2014-07-04 00:00:00,2014-07-04,0,1008.0,139.0,14.0,10.0,20.0,2.0
2014-07-04 12:00:00,2014-07-04,12,1005.0,139.0,26.2,7.2,170.0,6.0
2014-07-05 00:00:00,2014-07-05,0,1000.0,139.0,17.0,10.0,110.0,4.0
2014-07-05 12:00:00,2014-07-05,12,995.0,139.0,27.4,8.4,150.0,8.0
2014-07-06 00:00:00,2014-07-06,0,996.0,139.0,20.4,12.4,50.0,4.0
2014-07-06 12:00:00,2014-07-06,12,997.0,139.0,29.6,11.6,170.0,4.0
2014-07-07 00:00:00,2014-07-07,0,997.0,139.0,21.8,15.8,20.0,2.0
2014-07-07 12:00:00,2014-07-07,12,999.0,139.0,30.8,13.8,160.0,4.0
2014-07-08 00:00:00,2014-07-08,0,997.0,139.0,22.8,16.8,100.0,2.0
2014-07-08 12:00:00,2014-07-08,12,992.0,139.0,26.6,18.6,80.0,4.0
2014-07-09 00:00:00,2014-07-09,0,989.0,139.0,19.4,18.9,120.0,4.0
2014-07-09 12:00:00,2014-07-09,12,989.0,139.0,18.0,16.3,320.0,4.0
2014-07-10 00:00:00,2014-07-10,0,991.0,139.0,16.8,9.8,320.0,4.0
2014-07-10 12:00:00,2014-07-10,12,990.0,139.0,24.2,8.2,0.0,4.0
2014-07-11 00:00:00,2014-07-11,0,987.0,139.0,17.4,14.3,350.0,2.0
2014-07-11 12:00:00,2014-07-11,12,987.0,139.0,18.2,16.7,300.0,2.0
2014-07-12 00:00:00,2014-07-12,0,987.0,139.0,18.2,16.7,330.0,4.0
2014-07-12 12:00:00,2014-07-12,12,991.0,139.0,25.6,6.6,340.0,10.0
2014-07-13 00:00:00,2014-07-13,0,994.0,139.0,17.6,12.7,280.0,2.0
2014-07-13 12:00:00,2014-07-13,12,995.0,139.0,26.0,13.0,230.0,4.0
2014-07-14 00:00:00,2014-07-14,0,996.0,139.0,18.4,15.2,350.0,2.0
2014-07-14 12:00:00,2014-07-14,12,997.0,139.0,26.0,15.0,230.0,6.0
2014-07-15 00:00:00,2014-07-15,0,998.0,139.0,20.2,16.0,40.0,2.0
2014-07-15 12:00:00,2014-07-15,12,999.0,139.0,29.8,11.8,330.0,2.0
2014-07-16 00:00:00,2014-07-16,0,1000.0,139.0,21.8,14.8,350.0,4.0
2014-07-16 12:00:00,2014-07-16,12,1000.0,139.0,30.6,10.6,30.0,10.0
2014-07-17 00:00:00,2014-07-17,0,1001.0,139.0,22.0,15.0,340.0,4.0
2014-07-17 12:00:00,2014-07-17,12,1001.0,139.0,21.0,17.8,350.0,4.0
2014-07-18 00:00:00,2014-07-18,0,1001.0,139.0,20.0,15.4,350.0,4.0
2014-07-18 12:00:00,2014-07-18,12,1001.0,139.0,29.2,15.2,20.0,4.0
2014-07-19 00:00:00,2014-07-19,0,1001.0,139.0,21.4,17.2,350.0,4.0
2014-07-19 12:00:00,2014-07-19,12,1000.0,139.0,30.0,12.0,110.0,6.0
2014-07-20 00:00:00,2014-07-20,0,1000.0,139.0,22.2,16.2,110.0,4.0
2014-07-20 12:00:00,2014-07-20,12,998.0,139.0,31.0,14.0,180.0,6.0
2014-07-21 00:00:00,2014-07-21,0,994.0,139.0,22.4,16.4,120.0,4.0
2014-07-21 12:00:00,2014-07-21,12,992.0,139.0,31.4,16.4,210.0,6.0
2014-07-22 00:00:00,2014-07-22,0,992.0,139.0,23.2,16.2,210.0,4.0
2014-07-22 12:00:00,2014-07-22,12,994.0,139.0,21.2,19.3,140.0,6.0
2014-07-23 00:00:00,2014-07-23,0,993.0,139.0,19.4,18.7,350.0,4.0
2014-07-23 12:00:00,2014-07-23,12,992.0,139.0,25.0,13.0,30.0,8.0
2014-07-24 00:00:00,2014-07-24,0,993.0,139.0,18.0,15.6,20.0,2.0
2014-07-24 12:00:00,2014-07-24,12,993.0,139.0,24.8,13.8,280.0,8.0
2014-07-25 00:00:00,2014-07-25,0,995.0,139.0,18.6,14.7,280.0,2.0
2014-07-25 12:00:00,2014-07-25,12,997.0,139.0,27.8,11.8,20.0,4.0
2014-07-26 00:00:00,2014-07-26,0,998.0,139.0,20.8,16.2,30.0,2.0
2014-07-26 12:00:00,2014-07-26,12,997.0,139.0,29.0,16.0,150.0,6.0
2014-07-27 00:00:00,2014-07-27,0,996.0,139.0,21.8,17.1,70.0,4.0
2014-07-27 12:00:00,2014-07-27,12,997.0,139.0,21.8,18.1,50.0,6.0
2014-07-28 00:00:00,2014-07-28,0,996.0,139.0,20.6,18.1,20.0,4.0
2014-07-28 12:00:00,2014-07-28,12,997.0,139.0,21.4,18.5,90.0,4.0
2014-07-29 00:00:00,2014-07-29,0,994.0,139.0,18.8,17.8,50.0,2.0
2014-07-29 12:00:00,2014-07-29,12,994.0,139.0,24.6,17.6,230.0,2.0
2014-07-30 00:00:00,2014-07-30,0,993.0,139.0,19.4,18.4,70.0,4.0
2014-07-30 12:00:00,2014-07-30,12,992.0,139.0,27.2,20.2,90.0,10.0
2014-07-31 00:00:00,2014-07-31,0,992.0,139.0,21.0,18.2,180.0,6.0
2014-07-31 12:00:00,2014-07-31,12,994.0,139.0,24.6,17.6,80.0,6.0
