datetime,date,hour_utc,pressure_hPa,height_m,temp_c,dewpoint_c,wind_dir_deg,wind_speed_m_s
2017-06-01 00:00:00,2017-06-01,0,1001.0,139.0,19.6,15.9,300.0,2.0
2017-06-01 12:00:00,2017-06-01,12,1002.0,139.0,26.4,11.4,320.0,8.0
2017-06-02 00:00:00,2017-06-02,0,1002.0,139.0,14.8,8.8,330.0,2.0
2017-06-02 12:00:00,2017-06-02,12,1002.0,139.0,26.6,4.6,220.0,2.0
2017-06-03 00:00:00,2017-06-03,0,999.0,139.0,19.8,12.8,0.0,2.0
2017-06-03 12:00:00,2017-06-03,12,999.0,139.0,28.4,9.4,80.0,4.0
2017-06-04 00:00:00,2017-06-04,0,998.0,139.0,18.2,14.3,100.0,2.0
2017-06-04 12:00:00,2017-06-04,12,995.0,139.0,29.4,12.4,180.0,10.0
2017-06-05 00:00:00,2017-06-05,0,997.0,139.0,18.2,14.9,310.0,6.0
2017-06-05 12:00:00,2017-06-05,12,998.0,139.0,26.4,12.4,0.0,4.0
2017-06-06 00:00:00,2017-06-06,0,996.0,139.0,19.8,14.8,60.0,4.0
2017-06-06 12:00:00,2017-06-06,12,993.0,139.0,27.4,15.4,170.0,6.0
2017-06-07 00:00:00,2017-06-07,0,994.0,139.0,18.6,13.6,310.0,14.0
2017-06-07 12:00:00,2017-06-07,12,1000.0,139.0,21.2,6.2,290.0,10.0
2017-06-08 00:00:00,2017-06-08,0,1002.0,139.0,16.6,5.6,320.0,10.0
2017-06-08 12:00:00,2017-06-08,12,1003.0,139.0,22.8,4.8,300.0,8.0
2017-06-09 00:00:00,2017-06-09,0,1003.0,139.0,14.2,6.2,40.0,4.0
2017-06-09 12:00:00,2017-06-09,12,1001.0,139.0,25.6,8.6,200.0,6.0
2017-06-10 00:00:00,2017-06-10,0,1000.0,139.0,15.2,9.2,270.0,2.0
2017-06-10 12:00:00,2017-06-10,12,1000.0,139.0,24.6,11.6,290.0,10.0
2017-06-11 00:00:00,2017-06-11,0,1003.0,139.0,16.0,9.0,10.0,4.0
2017-06-11 12:00:00,2017-06-11,12,1003.0,139.0,25.0,10.0,30.0,4.0
2017-06-12 00:00:00,2017-06-12,0,1002.0,139.0,15.8,12.7,120.0,2.0
2017-06-12 12:00:00,2017-06-12,12,998.0,139.0,27.8,10.8,200.0,6.0
2017-06-13 00:00:00,2017-06-13,0,996.0,139.0,20.6,14.6,210.0,2.0
2017-06-13 12:00:00,2017-06-13,12,998.0,139.0,27.0,7.0,290.0,12.0
2017-06-14 00:00:00,2017-06-14,0,999.0,139.0,19.4,8.4,10.0,4.0
2017-06-14 12:00:00,2017-06-14,12,1000.0,139.0,24.2,7.2,310.0,8.0
2017-06-15 00:00:00,2017-06-15,0,1001.0,139.0,16.8,7.8,340.0,4.0
2017-06-15 12:00:00,2017-06-15,12,1003.0,139.0,24.4,8.4,300.0,6.0
2017-06-16 00:00:00,2017-06-16,0,1001.0,139.0,15.4,10.4,90.0,2.0
2017-06-16 12:00:00,2017-06-16,12,998.0,139.0,21.0,17.8,250.0,6.0
2017-06-17 00:00:00,2017-06-17,0,998.0,139.0,19.0,12.0,320.0,6.0
2017-06-17 12:00:00,2017-06-17,12,1000.0,139.0,20.2,6.2,310.0,12.0
2017-06-18 00:00:00,2017-06-18,0,1001.0,139.0,14.0,9.0,320.0,8.0
2017-06-18 12:00:00,2017-06-18,12,1002.0,139.0,24.0,11.0,0.0,8.0
2017-06-19 00:00:00,2017-06-19,0,1006.0,139.0,18.4,10.4,340.0,4.0
2017-06-19 12:00:00,2017-06-19,12,1005.0,139.0,28.0,10.0,330.0,4.0
2017-06-20 00:00:00,2017-06-20,0,1003.0,139.0,17.8,12.9,0.0,2.0
2017-06-20 12:00:00,2017-06-20,12,1001.0,139.0,30.0,12.0,260.0,8.0
2017-06-21 00:00:00,2017-06-21,0,998.0,139.0,19.2,14.5,120.0,4.0
2017-06-21 12:00:00,2017-06-21,12,997.0,139.0,31.6,15.6,140.0,4.0
2017-06-22 00:00:00,2017-06-22,0,999.0,139.0,20.4,11.4,60.0,4.0
2017-06-22 12:00:00,2017-06-22,12,999.0,139.0,31.6,15.6,250.0,8.0
2017-06-23 00:00:00,2017-06-23,0,996.0,139.0,22.0,16.0,120.0,2.0
2017-06-23 12:00:00,2017-06-23,12,994.0,139.0,30.4,16.4,270.0,14.0
2017-06-24 00:00:00,2017-06-24,0,997.0,139.0,22.4,12.4,340.0,4.0
2017-06-24 12:00:00,2017-06-24,12,999.0,139.0,29.6,10.6,300.0,8.0
2017-06-25 00:00:00,2017-06-25,0,997.0,139.0,22.4,16.4,160.0,4.0
2017-06-25 12:00:00,2017-06-25,12,997.0,139.0,26.4,17.4,230.0,6.0
2017-06-26 00:00:00,2017-06-26,0,996.0,139.0,18.6,18.3,230.0,2.0
