datetime,date,hour_utc,pressure_hPa,height_m,temp_c,dewpoint_c,wind_dir_deg,wind_speed_m_s
2019-03-01 00:00:00,2019-03-01,0,993.0,139.0,12.2,0.2,300.0,8.0
2019-03-01 12:00:00,2019-03-01,12,993.0,139.0,12.8,3.8,300.0,12.0
2019-03-02 00:00:00,2019-03-02,0,994.0,139.0,8.6,4.2,320.0,10.0
2019-03-02 12:00:00,2019-03-02,12,999.0,139.0,8.8,-4.2,300.0,6.0
2019-03-03 00:00:00,2019-03-03,0,1001.0,139.0,4.8,0.9,280.0,4.0
2019-03-03 12:00:00,2019-03-03,12,1001.0,139.0,8.8,4.0,210.0,2.0
2019-03-04 00:00:00,2019-03-04,0,995.0,139.0,5.4,1.5,160.0,4.0
2019-03-04 12:00:00,2019-03-04,12,990.0,139.0,16.2,2.2,220.0,8.0
2019-03-05 00:00:00,2019-03-05,0,988.0,139.0,11.0,-1.0,250.0,6.0
2019-03-05 12:00:00,2019-03-05,12,994.0,139.0,12.8,-2.2,290.0,10.0
2019-03-06 00:00:00,2019-03-06,0,998.0,139.0,6.4,3.7,290.0,2.0
2019-03-06 12:00:00,2019-03-06,12,1003.0,139.0,11.4,-1.6,200.0,4.0
2019-03-07 00:00:00,2019-03-07,0,998.0,139.0,8.8,-1.2,150.0,8.0
2019-03-07 12:00:00,2019-03-07,12,992.0,139.0,15.6,4.6,210.0,12.0
2019-03-08 00:00:00,2019-03-08,0,995.0,139.0,12.4,3.4,330.0,2.0
2019-03-08 12:00:00,2019-03-08,12,1000.0,139.0,13.8,0.8,310.0,4.0
2019-03-09 00:00:00,2019-03-09,0,1004.0,139.0,9.0,4.2,260.0,2.0
2019-03-09 12:00:00,2019-03-09,12,1002.0,139.0,14.2,1.2,220.0,12.0
2019-03-10 00:00:00,2019-03-10,0,997.0,139.0,10.0,5.4,300.0,8.0
2019-03-10 12:00:00,2019-03-10,12,997.0,139.0,12.2,3.2,210.0,10.0
2019-03-11 00:00:00,2019-03-11,0,992.0,139.0,13.0,1.0,270.0,16.0
2019-03-11 12:00:00,2019-03-11,12,997.0,139.0,10.0,-5.0,320.0,10.0
2019-03-12 00:00:00,2019-03-12,0,1000.0,139.0,37.0,29.0,300.0,8.0
2019-03-12 12:00:00,2019-03-12,12,1005.0,139.0,9.2,-3.8,330.0,8.0
2019-03-13 00:00:00,2019-03-13,0,1002.0,139.0,-0.3,-4.7,180.0,2.0
2019-03-13 12:00:00,2019-03-13,12,999.0,139.0,8.8,-4.2,250.0,10.0
2019-03-14 00:00:00,2019-03-14,0,996.0,139.0,4.0,3.0,90.0,2.0
2019-03-14 12:00:00,2019-03-14,12,995.0,139.0,9.0,1.0,270.0,8.0
2019-03-15 00:00:00,2019-03-15,0,988.0,139.0,5.4,-1.6,190.0,4.0
2019-03-15 12:00:00,2019-03-15,12,991.0,139.0,11.0,-1.0,280.0,12.0
2019-03-16 00:00:00,2019-03-16,0,991.0,139.0,6.2,5.0,240.0,6.0
2019-03-16 12:00:00,2019-03-16,12,996.0,139.0,10.6,0.6,290.0,12.0
