date,temp_mean_c,temp_max_c,temp_min_c,wind_mean_m_s,n_soundings,HDD,CDD
2017-12-29,3.1,3.2,3.0,15.5,2,12.4,0.0
2017-12-30,-0.8500000000000001,0.4,-2.1,2.0,2,16.35,0.0
2017-12-31,3.0999999999999996,4.6,1.6,4.0,2,12.4,0.0
2018-01-01,2.8,3.8,1.8,2.0,2,12.7,0.0
2018-01-02,3.9,5.0,2.8,5.0,2,11.6,0.0
2018-01-03,5.1,5.2,5.0,9.0,2,10.4,0.0
2018-01-04,2.4,2.4,2.4,4.0,1,13.1,0.0
2018-01-05,6.3,8.0,4.6,3.0,2,9.2,0.0
2018-01-06,7.1,8.0,6.2,4.0,2,8.4,0.0
2018-01-07,6.800000000000001,8.8,4.8,2.0,2,8.7,0.0
2018-01-08,8.8,9.8,7.8,4.0,2,6.699999999999999,0.0
2018-01-09,5.6,7.0,4.2,5.0,2,9.9,0.0
