PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
993.0,139,15.2,8.2,63,6.88,85,2.0,288.9,308.6,290.1
990.0,165,16.0,9.0,63,7.29,121,3.8,290.0,310.9,291.3
988.0,182,16.4,8.7,60,7.18,145,5.0,290.6,311.2,291.9
973.0,314,19.8,6.8,43,6.38,154,9.8,295.2,314.0,296.4
963.0,403,19.2,6.6,44,6.35,160,13.0,295.5,314.2,296.6
925.0,750,16.8,5.8,48,6.26,185,11.0,296.5,315.0,297.6
877.0,1199,12.8,4.9,59,6.21,205,7.0,296.8,315.3,298.0
850.0,1463,10.4,4.4,66,6.18,205,8.0,297.0,315.4,298.1
753.0,2457,1.6,0.7,94,5.35,219,8.7,297.9,314.0,298.9
717.0,2849,-1.3,-7.0,65,3.17,225,9.0,299.0,308.7,299.5
700.0,3041,-2.7,-10.7,54,2.42,215,8.0,299.5,307.0,299.9
698.0,3064,-2.3,-19.3,26,1.19,215,7.9,300.2,304.0,300.4
679.0,3282,-4.1,-6.6,83,3.44,215,6.9,300.5,311.1,301.1
671.0,3375,-4.5,-9.0,71,2.88,215,6.5,301.1,310.1,301.6
668.0,3410,-3.9,-21.9,23,0.99,215,6.4,302.1,305.4,302.3
642.0,3722,-5.8,-15.2,48,1.83,215,5.0,303.4,309.4,303.8
638.0,3771,-6.1,-14.1,53,2.01,218,4.7,303.6,310.1,304.0
630.0,3868,-6.6,-16.3,46,1.69,225,4.0,304.2,309.7,304.5
602.0,4218,-8.4,-24.4,26,0.88,230,6.0,306.0,309.0,306.2
586.0,4426,-9.5,-29.2,18,0.58,255,8.0,307.1,309.2,307.2
550.0,4914,-12.1,-40.5,7,0.20,245,5.0,309.7,310.5,309.8
528.0,5228,-13.7,-47.7,4,0.10,249,6.7,311.4,311.8,311.4
500.0,5640,-15.9,-46.9,5,0.11,255,9.0,313.6,314.0,313.6
497.0,5685,-16.1,-47.7,5,0.10,255,9.0,313.8,314.2,313.9
495.0,5716,-16.3,-48.3,5,0.10,251,8.8,314.0,314.4,314.0
486.0,5852,-17.5,-46.1,6,0.13,235,8.0,314.2,314.7,314.2
476.0,6006,-18.8,-43.7,9,0.17,265,7.0,314.4,315.1,314.5
463.0,6211,-20.6,-40.4,15,0.24,260,6.0,314.7,315.6,314.8
454.0,6357,-21.8,-38.1,22,0.32,275,6.0,314.9,316.1,315.0
441.0,6573,-23.7,-34.7,36,0.46,268,6.9,315.2,316.9,315.3
429.0,6774,-24.5,-53.5,5,0.06,261,7.8,316.7,316.9,316.7
427.0,6808,-24.8,-53.6,5,0.06,260,8.0,316.8,317.0,316.8
404.0,7208,-27.8,-55.0,6,0.05,230,10.0,317.9,318.1,317.9
400.0,7280,-28.3,-55.3,6,0.05,220,10.0,318.1,318.3,318.1
394.0,7387,-29.0,-56.2,6,0.05,200,9.0,318.6,318.8,318.6
375.0,7739,-31.3,-59.3,5,0.04,194,8.7,320.1,320.2,320.1
352.0,8182,-35.3,-54.3,13,0.07,186,8.3,320.5,320.8,320.5
335.0,8521,-38.3,-50.1,28,0.12,180,8.0,321.0,321.4,321.0
316.0,8921,-41.9,-45.1,71,0.22,206,9.7,321.4,322.2,321.4
313.0,8985,-42.5,-45.7,71,0.21,210,10.0,321.4,322.2,321.5
300.0,9270,-45.1,-48.5,69,0.16,205,9.0,321.7,322.3,321.7
277.0,9791,-49.7,-53.1,68,0.10,200,8.0,322.4,322.8,322.4
261.0,10179,-53.2,-56.6,67,0.07,210,9.0,322.9,323.1,322.9
250.0,10460,-55.7,-59.1,66,0.05,200,10.0,323.1,323.4,323.1
244.0,10613,-57.1,-60.3,67,0.05,195,10.0,323.3,323.5,323.3
232.0,10930,-59.9,-62.8,69,0.04,204,13.1,323.7,323.9,323.7
218.0,11315,-61.8,-67.7,46,0.02,215,17.0,326.6,326.7,326.6
213.0,11459,-62.5,-69.5,39,0.02,230,15.0,327.7,327.8,327.7
207.0,11636,-60.5,-74.6,15,0.01,255,12.0,333.5,333.6,333.5
203.0,11757,-59.1,-78.1,7,0.00,245,7.0,337.6,337.6,337.6
200.0,11850,-59.3,-78.3,7,0.00,240,8.0,338.7,338.7,338.7
191.0,12143,-57.3,-79.8,4,0.00,235,11.0,346.4,346.5,346.4
180.0,12520,-54.7,-81.6,2,0.00,255,18.0,356.6,356.7,356.6
174.0,12735,-53.2,-82.7,2,0.00,270,18.0,362.6,362.6,362.6
173.0,12772,-52.9,-82.9,2,0.00,269,17.8,363.6,363.6,363.6
153.0,13563,-53.6,-83.6,2,0.00,255,13.0,375.4,375.4,375.4
150.0,13690,-53.7,-83.7,2,0.00,250,14.0,377.3,377.4,377.3
148.0,13776,-53.7,-83.8,2,0.00,250,15.0,378.8,378.8,378.8
140.0,14134,-53.7,-84.0,1,0.00,280,20.0,384.9,384.9,384.9
136.0,14321,-53.7,-84.1,1,0.00,290,16.0,388.1,388.2,388.1
131.0,14562,-53.6,-84.3,1,0.00,275,11.0,392.4,392.4,392.4
121.0,15073,-53.6,-84.7,1,0.00,270,15.0,401.4,401.4,401.4
117.0,15289,-53.6,-84.8,1,0.00,275,18.0,405.3,405.3,405.3
113.0,15513,-53.6,-85.0,1,0.00,295,14.0,409.4,409.4,409.4
100.0,16300,-53.5,-85.5,1,0.00,275,9.0,424.1,424.1,424.1
93.0,16766,-53.9,-85.7,1,0.00,250,10.0,432.2,432.2,432.2
88.0,17121,-54.2,-85.9,1,0.00,250,11.0,438.4,438.4,438.4
85.0,17343,-54.4,-86.0,1,0.00,265,15.0,442.4,442.4,442.4
82.0,17574,-54.6,-86.1,1,0.00,295,9.0,446.5,446.6,446.5
79.0,17813,-54.8,-86.2,1,0.00,270,7.0,450.9,450.9,450.9
78.0,17895,-54.9,-86.2,1,0.00,255,8.0,452.4,452.4,452.4
71.0,18499,-55.4,-86.5,1,0.00,255,11.0,463.6,463.6,463.6
70.0,18590,-55.5,-86.5,1,0.00,260,12.0,465.3,465.3,465.3
68.0,18775,-55.6,-86.4,1,0.00,280,15.0,469.0,469.0,469.0
66.0,18965,-55.7,-86.4,1,0.00,290,11.0,472.8,472.8,472.8
63.0,19262,-55.8,-86.3,1,0.00,285,9.0,478.8,478.8,478.8
61.0,19468,-56.0,-86.2,1,0.00,260,6.0,483.0,483.0,483.0
60.0,19573,-56.0,-86.2,1,0.00,255,7.0,485.1,485.2,485.1
58.3,19757,-56.1,-86.1,1,0.00,259,11.2,488.9,488.9,488.9
58.0,19790,-56.0,-86.1,1,0.00,260,12.0,489.8,489.9,489.8
56.0,20014,-55.4,-86.1,1,0.00,285,14.0,496.2,496.3,496.2
53.0,20366,-54.4,-86.1,1,0.01,315,10.0,506.4,506.4,506.4
52.2,20464,-54.1,-86.1,1,0.01,318,9.0,509.2,509.3,509.2
50.0,20740,-54.9,-85.9,1,0.01,325,6.0,513.7,513.7,513.7
