PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
989.0,139,20.4,10.4,53,8.03,175,2.0,294.5,317.8,295.9
955.0,437,17.4,10.0,62,8.11,185,9.0,294.4,317.9,295.8
925.0,709,14.6,9.7,72,8.19,195,8.0,294.2,318.0,295.7
922.0,736,14.3,9.7,73,8.19,195,8.0,294.2,318.0,295.7
886.0,1070,11.1,9.0,87,8.18,185,8.0,294.3,318.0,295.7
861.0,1310,8.8,8.6,99,8.17,199,9.4,294.3,318.0,295.7
850.0,1417,8.2,8.2,100,8.05,205,10.0,294.7,318.2,296.2
746.0,2480,1.7,1.7,100,5.83,235,13.0,298.9,316.4,299.9
713.0,2848,-0.5,-0.5,100,5.18,235,14.4,300.3,316.0,301.3
700.0,2995,-1.7,-2.4,95,4.58,235,15.0,300.6,314.6,301.4
697.0,3029,-1.9,-2.6,95,4.54,235,15.0,300.7,314.6,301.6
670.0,3341,-3.7,-4.3,95,4.15,235,14.0,302.2,314.9,302.9
653.0,3544,-4.8,-5.5,95,3.90,250,12.0,303.1,315.2,303.8
629.0,3840,-6.5,-7.1,95,3.57,246,12.1,304.4,315.6,305.1
603.0,4169,-8.9,-8.9,100,3.24,243,12.3,305.3,315.6,305.9
580.0,4470,-11.3,-11.3,100,2.78,239,12.4,305.9,314.8,306.5
549.0,4888,-15.7,-26.7,38,0.79,234,12.6,305.6,308.2,305.7
540.0,5013,-16.1,-37.1,15,0.29,232,12.7,306.5,307.6,306.6
525.0,5225,-16.9,-42.9,9,0.17,230,12.8,308.0,308.7,308.1
500.0,5590,-18.7,-44.7,8,0.14,225,13.0,310.2,310.7,310.2
486.0,5801,-19.9,-45.9,8,0.13,223,11.5,311.2,311.7,311.3
472.0,6012,-21.6,-46.5,9,0.12,220,10.0,311.8,312.2,311.8
450.0,6358,-24.3,-47.6,10,0.12,215,12.0,312.6,313.0,312.6
400.0,7210,-31.1,-50.1,14,0.10,230,13.0,314.5,314.9,314.5
383.0,7513,-33.8,-50.6,17,0.10,230,17.0,314.8,315.2,314.8
349.0,8161,-39.7,-51.7,27,0.09,217,15.0,315.4,315.7,315.4
332.0,8500,-42.1,-56.5,19,0.06,210,14.0,316.7,316.9,316.7
322.0,8708,-43.5,-59.5,16,0.04,215,14.6,317.5,317.6,317.5
300.0,9180,-47.5,-51.5,64,0.11,225,16.0,318.3,318.7,318.3
294.0,9312,-48.3,-52.1,65,0.11,225,15.1,319.0,319.4,319.0
280.0,9629,-50.3,-55.5,54,0.07,225,13.0,320.6,320.9,320.6
272.0,9817,-51.5,-57.5,49,0.06,233,14.6,321.5,321.8,321.5
265.0,9985,-52.3,-64.3,23,0.03,240,16.0,322.8,322.9,322.8
263.0,10033,-52.1,-76.1,4,0.01,241,16.7,323.8,323.8,323.8
257.0,10182,-51.4,-76.3,4,0.00,245,19.0,327.0,327.0,327.0
250.0,10360,-50.5,-76.5,3,0.00,240,21.0,330.9,330.9,330.9
249.0,10386,-50.5,-76.7,3,0.00,240,21.0,331.3,331.3,331.3
245.0,10492,-50.3,-77.3,3,0.00,241,19.8,333.1,333.1,333.1
229.0,10932,-52.0,-77.2,4,0.00,245,15.0,337.0,337.0,337.0
222.0,11134,-52.8,-77.1,4,0.01,235,18.0,338.8,338.8,338.8
219.0,11222,-53.1,-77.1,4,0.01,238,18.8,339.6,339.6,339.6
200.0,11810,-52.5,-80.5,2,0.00,255,24.0,349.5,349.5,349.5
