PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
999.0,139,20.8,8.8,46,7.13,320,1.0,294.0,314.8,295.3
925.0,798,13.8,6.8,63,6.71,265,1.0,293.4,313.0,294.6
850.0,1503,7.2,5.8,91,6.82,275,1.0,293.7,313.5,294.9
826.0,1738,4.8,4.5,98,6.41,0,0.0,293.6,312.3,294.7
824.0,1758,4.6,4.4,99,6.37,359,0.1,293.5,312.2,294.7
820.0,1797,4.4,4.4,100,6.41,356,0.3,293.7,312.5,294.9
765.0,2359,0.4,-0.2,96,4.93,318,2.8,295.3,310.0,296.2
763.0,2380,0.2,-1.8,86,4.40,316,2.9,295.3,308.5,296.1
737.0,2658,-0.1,-7.1,59,3.04,297,4.2,297.9,307.3,298.5
701.0,3058,-2.2,-13.1,43,1.98,270,6.0,299.9,306.1,300.2
700.0,3069,-2.3,-13.3,43,1.96,270,6.0,299.9,306.1,300.3
651.0,3640,-5.0,-28.7,14,0.55,290,6.0,303.2,305.1,303.3
621.0,4011,-6.7,-38.7,6,0.22,265,6.0,305.3,306.1,305.3
618.0,4049,-6.7,-38.7,6,0.22,262,6.0,305.7,306.5,305.8
610.0,4148,-7.5,-39.2,6,0.21,255,6.0,305.9,306.7,306.0
568.0,4690,-12.0,-42.0,6,0.17,270,8.0,306.9,307.5,306.9
502.0,5630,-19.8,-46.9,7,0.11,245,11.0,308.4,308.9,308.4
500.0,5660,-20.1,-47.1,7,0.11,245,11.0,308.5,308.9,308.5
470.0,6114,-23.9,-52.9,5,0.06,258,11.0,309.3,309.5,309.3
454.0,6365,-25.5,-55.5,4,0.05,265,11.0,310.3,310.5,310.3
400.0,7270,-31.1,-53.1,10,0.07,260,19.0,314.5,314.8,314.5
389.0,7467,-32.5,-53.1,11,0.07,260,18.0,315.2,315.4,315.2
377.0,7687,-34.1,-53.1,13,0.07,264,20.0,315.9,316.2,315.9
373.0,7762,-34.5,-45.5,32,0.18,266,20.6,316.3,317.0,316.4
359.0,8029,-36.3,-56.3,11,0.05,271,23.0,317.4,317.6,317.4
348.0,8242,-37.9,-56.9,12,0.05,275,25.0,318.1,318.3,318.1
325.0,8712,-41.3,-58.3,14,0.05,270,28.2,319.6,319.8,319.7
300.0,9250,-46.1,-54.1,40,0.08,265,32.0,320.3,320.6,320.3
284.0,9612,-49.3,-54.4,55,0.08,255,33.0,320.8,321.1,320.8
276.0,9801,-50.9,-54.6,65,0.08,256,32.8,321.1,321.4,321.1
250.0,10440,-56.5,-61.5,54,0.04,260,32.0,321.9,322.1,321.9
241.0,10671,-58.4,-63.4,53,0.03,265,31.0,322.5,322.6,322.5
236.0,10803,-59.5,-64.5,53,0.03,260,29.0,322.8,322.9,322.8
224.0,11130,-58.3,-69.3,24,0.02,251,27.2,329.4,329.5,329.4
213.0,11445,-60.5,-70.5,26,0.01,242,25.5,330.8,330.9,330.8
210.0,11534,-59.7,-71.9,19,0.01,240,25.0,333.4,333.5,333.4
205.0,11685,-58.3,-74.4,11,0.01,250,27.0,337.9,337.9,337.9
200.0,11840,-56.9,-76.9,7,0.01,260,25.0,342.5,342.5,342.5
195.0,12001,-56.1,-80.1,4,0.00,260,22.3,346.3,346.3,346.3
194.0,12033,-55.5,-78.5,4,0.00,260,21.8,347.7,347.8,347.7
182.0,12442,-55.0,-80.0,3,0.00,260,15.0,354.9,355.0,354.9
177.0,12620,-54.8,-80.6,3,0.00,240,13.0,358.1,358.2,358.1
169.0,12917,-54.4,-81.7,2,0.00,255,14.0,363.5,363.5,363.5
158.0,13347,-53.9,-83.3,2,0.00,255,11.0,371.4,371.5,371.4
150.0,13680,-53.5,-84.5,1,0.00,235,12.0,377.7,377.7,377.7
148.0,13766,-53.4,-84.4,1,0.00,230,13.0,379.3,379.3,379.3
141.0,14078,-53.2,-84.2,1,0.00,235,14.0,385.0,385.0,385.0
139.0,14169,-53.1,-84.1,1,0.00,243,13.6,386.7,386.7,386.7
136.0,14309,-53.2,-84.2,1,0.00,255,13.0,388.9,388.9,388.9
130.0,14598,-53.4,-84.4,1,0.00,240,10.0,393.6,393.6,393.6
108.0,15787,-54.3,-85.3,1,0.00,250,11.0,413.3,413.3,413.3
100.0,16280,-54.7,-85.7,1,0.00,280,10.0,421.8,421.8,421.8
96.0,16541,-55.3,-85.7,1,0.00,245,8.0,425.5,425.5,425.5
93.5,16710,-55.7,-85.7,1,0.00,237,9.7,428.0,428.0,428.0
93.0,16744,-55.5,-85.7,1,0.00,235,10.0,429.0,429.0,429.0
90.0,16954,-54.5,-85.5,1,0.00,260,15.0,435.0,435.0,435.0
86.5,17209,-53.3,-85.3,1,0.00,256,12.4,442.4,442.4,442.4
82.0,17552,-54.1,-85.7,1,0.00,250,9.0,447.5,447.6,447.5
80.0,17710,-54.5,-85.8,1,0.00,235,10.0,449.9,449.9,449.9
77.0,17956,-55.1,-86.1,1,0.00,240,13.0,453.6,453.7,453.6
76.0,18040,-54.2,-85.8,1,0.00,255,14.0,457.3,457.3,457.3
74.0,18211,-52.3,-85.3,1,0.00,285,10.1,464.7,464.7,464.7
72.0,18388,-53.1,-85.1,1,0.00,315,6.0,466.7,466.7,466.7
70.0,18570,-53.9,-84.9,1,0.00,315,2.0,468.7,468.8,468.7
69.0,18662,-54.0,-85.0,1,0.00,275,1.0,470.5,470.6,470.5
67.0,18850,-54.1,-85.2,1,0.00,220,5.0,474.3,474.3,474.3
66.0,18946,-54.1,-85.3,1,0.00,250,7.0,476.2,476.2,476.2
65.0,19044,-54.2,-85.4,1,0.00,255,8.0,478.2,478.2,478.2
63.0,19243,-54.3,-85.6,1,0.00,275,5.0,482.2,482.2,482.2
59.0,19662,-54.5,-86.0,1,0.00,215,1.0,490.8,490.8,490.8
55.0,20111,-54.8,-86.5,1,0.00,235,7.0,500.2,500.2,500.2
54.0,20228,-54.8,-86.6,1,0.00,245,9.0,502.7,502.7,502.7
50.0,20720,-55.1,-87.1,1,0.00,285,5.0,513.2,513.2,513.2
