PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
998.0,139,22.0,5.0,33,5.48,340,1.0,295.3,311.6,296.3
995.0,165,20.4,6.4,40,6.06,333,1.0,294.0,311.8,295.0
925.0,788,14.2,4.2,51,5.59,160,2.0,293.8,310.3,294.8
850.0,1494,7.4,3.5,76,5.80,265,3.0,293.9,310.9,294.9
845.0,1543,7.0,3.4,78,5.79,263,3.3,294.0,311.0,295.0
826.0,1730,6.2,3.8,85,6.09,258,4.5,295.0,313.0,296.1
818.0,1808,5.7,3.2,84,5.89,255,5.0,295.3,312.7,296.4
761.0,2393,1.9,-1.4,79,4.55,260,6.0,297.4,311.1,298.2
748.0,2532,1.0,-2.4,78,4.27,240,6.0,297.8,310.8,298.6
716.0,2886,-1.3,-5.2,75,3.63,260,7.0,299.1,310.2,299.7
708.0,2977,-1.9,-5.9,74,3.48,258,6.5,299.4,310.1,300.0
700.0,3067,-2.3,-11.3,50,2.30,255,6.0,299.9,307.2,300.3
686.0,3227,-3.1,-15.1,39,1.72,256,6.6,300.8,306.3,301.1
647.0,3686,-6.1,-23.1,25,0.92,259,8.2,302.4,305.5,302.6
640.0,3771,-6.7,-23.7,25,0.88,259,8.5,302.7,305.6,302.8
628.0,3919,-6.5,-30.0,13,0.50,260,9.0,304.6,306.4,304.7
620.0,4019,-6.3,-34.3,9,0.34,271,8.5,305.9,307.1,306.0
613.0,4107,-7.0,-35.3,8,0.31,280,8.0,306.1,307.2,306.1
600.0,4272,-8.4,-37.3,8,0.26,275,6.0,306.4,307.3,306.4
578.0,4561,-10.8,-40.7,7,0.19,290,5.0,306.8,307.5,306.9
577.0,4574,-10.9,-40.9,6,0.19,292,5.0,306.9,307.6,306.9
552.0,4912,-12.6,-42.1,7,0.17,345,5.0,308.8,309.5,308.8
539.0,5093,-13.5,-42.7,7,0.17,330,7.0,309.9,310.5,309.9
528.0,5250,-14.2,-43.2,7,0.16,295,6.0,310.8,311.4,310.8
527.0,5265,-14.3,-43.3,7,0.16,297,5.9,310.8,311.4,310.9
517.0,5409,-15.4,-42.6,8,0.17,320,5.0,311.2,311.9,311.3
