PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
995.0,139,15.6,7.6,59,6.59,205,1.0,289.2,308.0,290.3
986.0,216,15.4,7.4,59,6.56,225,5.0,289.7,308.5,290.9
968.0,371,15.0,7.0,59,6.50,210,9.0,290.8,309.6,292.0
950.0,529,14.6,6.6,59,6.44,235,12.0,292.0,310.7,293.1
929.0,718,14.1,6.1,59,6.36,240,15.0,293.4,311.9,294.5
925.0,754,14.0,6.0,59,6.35,240,16.0,293.6,312.2,294.7
850.0,1463,10.4,0.4,50,4.63,205,17.0,297.0,311.0,297.9
847.0,1492,10.4,0.4,50,4.65,203,17.4,297.3,311.3,298.2
843.0,1531,10.1,0.4,51,4.68,200,18.0,297.4,311.5,298.2
767.0,2309,3.9,1.1,82,5.41,200,21.0,298.8,315.1,299.8
766.0,2320,3.8,1.1,83,5.42,200,21.0,298.9,315.2,299.8
733.0,2677,1.4,-7.6,51,2.95,215,22.0,300.0,309.2,300.6
705.0,2989,-0.9,-6.9,64,3.23,215,20.3,300.8,310.9,301.4
700.0,3046,-0.7,-6.7,64,3.31,215,20.0,301.7,312.0,302.3
692.0,3138,-1.1,-7.1,64,3.24,215,18.4,302.2,312.4,302.8
678.0,3301,-2.1,-2.9,94,4.56,215,15.6,302.9,316.9,303.7
670.0,3394,-2.6,-3.6,93,4.38,215,14.0,303.3,316.9,304.1
631.0,3866,-5.1,-7.0,87,3.58,200,13.0,305.7,317.0,306.3
587.0,4434,-8.2,-11.2,79,2.77,225,14.0,308.5,317.4,309.0
583.0,4488,-8.5,-11.6,78,2.70,226,13.8,308.8,317.5,309.3
535.0,5149,-13.7,-14.4,94,2.34,234,11.1,310.2,317.9,310.7
500.0,5660,-17.1,-20.0,78,1.56,240,9.0,312.1,317.4,312.4
458.0,6307,-22.4,-24.4,84,1.16,235,7.0,313.4,317.4,313.6
437.0,6654,-25.3,-26.8,87,0.98,240,8.4,314.0,317.4,314.2
430.0,6771,-25.7,-30.6,63,0.70,242,8.9,314.9,317.4,315.1
409.0,7131,-29.1,-30.3,89,0.75,248,10.3,315.1,317.7,315.2
400.0,7290,-29.9,-33.0,74,0.60,250,11.0,316.0,318.2,316.2
392.0,7434,-31.1,-35.2,67,0.49,251,11.0,316.3,318.1,316.4
373.0,7783,-34.1,-37.2,74,0.42,255,11.0,316.8,318.3,316.9
366.0,7917,-35.3,-38.0,76,0.40,253,11.7,317.0,318.4,317.0
363.0,7974,-35.5,-42.5,49,0.25,252,11.9,317.5,318.4,317.5
347.0,8286,-38.3,-42.1,67,0.27,247,13.5,317.8,318.8,317.8
343.0,8366,-39.1,-45.1,53,0.20,245,13.9,317.7,318.5,317.8
342.0,8386,-39.3,-45.2,53,0.20,245,14.0,317.8,318.5,317.8
319.0,8859,-43.5,-48.5,58,0.15,250,9.4,318.3,318.9,318.3
317.0,8901,-43.8,-52.8,36,0.09,250,9.0,318.5,318.9,318.5
316.0,8923,-43.9,-54.9,29,0.07,248,8.6,318.6,318.9,318.6
309.0,9073,-45.1,-53.0,41,0.09,230,6.0,318.9,319.3,318.9
307.0,9116,-45.5,-52.5,45,0.10,232,5.8,319.0,319.4,319.0
301.0,9248,-46.1,-58.1,25,0.05,240,5.0,320.0,320.2,320.0
300.0,9270,-46.1,-58.1,25,0.05,240,5.0,320.3,320.5,320.3
286.0,9581,-48.8,-59.4,28,0.05,215,3.0,320.9,321.0,320.9
271.0,9931,-51.8,-60.9,33,0.04,220,5.0,321.5,321.6,321.5
262.0,10151,-53.7,-61.9,36,0.04,240,7.0,321.8,322.0,321.8
260.0,10200,-54.1,-62.1,37,0.04,239,7.6,321.9,322.0,321.9
255.0,10324,-54.8,-63.8,32,0.03,235,9.0,322.6,322.8,322.7
250.0,10450,-55.5,-65.5,28,0.02,240,9.0,323.4,323.5,323.4
236.0,10811,-58.0,-66.6,33,0.02,265,12.0,325.0,325.1,325.0
224.0,11138,-60.3,-67.6,39,0.02,275,9.0,326.4,326.5,326.4
215.0,11395,-62.1,-68.3,44,0.02,265,6.0,327.4,327.5,327.4
213.0,11453,-62.5,-68.5,45,0.02,262,6.7,327.7,327.8,327.7
212.0,11482,-62.6,-68.8,44,0.02,260,7.0,327.9,328.0,327.9
205.0,11688,-63.7,-70.7,39,0.01,265,11.0,329.4,329.5,329.4
200.0,11840,-62.5,-72.5,26,0.01,265,13.0,333.6,333.7,333.6
187.0,12258,-60.4,-78.4,8,0.00,265,17.0,343.5,343.5,343.5
175.0,12671,-58.3,-84.3,2,0.00,280,11.1,353.5,353.5,353.5
171.0,12816,-58.3,-84.4,2,0.00,285,9.0,355.9,355.9,355.9
167.0,12965,-58.2,-84.6,2,0.00,265,5.0,358.4,358.4,358.4
157.0,13353,-58.1,-85.0,2,0.00,280,7.0,364.9,365.0,364.9
154.0,13475,-58.1,-85.1,2,0.00,265,6.6,367.0,367.0,367.0
150.0,13640,-58.7,-85.7,2,0.00,245,6.0,368.7,368.8,368.7
149.0,13682,-58.7,-85.7,2,0.00,245,5.0,369.5,369.5,369.5
147.0,13768,-58.6,-85.7,2,0.00,230,3.0,371.1,371.1,371.1
140.0,14076,-58.4,-85.9,2,0.00,245,7.0,376.7,376.7,376.7
137.0,14212,-58.3,-85.9,2,0.00,225,10.0,379.2,379.2,379.2
129.0,14592,-58.0,-86.1,2,0.00,260,12.0,386.3,386.3,386.3
124.0,14842,-57.8,-86.2,2,0.00,280,6.0,391.1,391.1,391.1
122.0,14945,-57.7,-86.2,2,0.00,265,4.0,393.0,393.0,393.0
118.0,15155,-57.5,-86.3,2,0.00,220,6.0,397.1,397.1,397.1
112.0,15484,-57.3,-86.4,2,0.00,255,6.0,403.5,403.6,403.5
109.0,15656,-57.1,-86.5,1,0.00,235,6.0,406.9,406.9,406.9
105.0,15892,-56.9,-86.6,1,0.00,245,7.0,411.7,411.7,411.7
102.0,16075,-56.8,-86.7,1,0.00,270,5.0,415.4,415.4,415.4
100.0,16200,-56.7,-86.7,1,0.00,250,5.0,417.9,417.9,417.9
94.0,16590,-57.7,-87.1,1,0.00,280,10.0,423.5,423.5,423.5
93.0,16658,-57.8,-87.2,1,0.00,285,8.0,424.4,424.4,424.4
91.0,16795,-58.2,-87.4,1,0.00,285,5.0,426.4,426.4,426.4
89.1,16928,-58.5,-87.5,1,0.00,261,5.0,428.3,428.3,428.3
