PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
995.0,139,23.8,7.8,36,6.68,220,6.0,297.4,317.2,298.6
990.0,183,21.2,7.2,40,6.44,219,6.2,295.2,314.2,296.3
925.0,762,15.6,6.6,55,6.62,205,9.0,295.3,314.7,296.4
885.0,1133,12.0,5.4,64,6.39,200,9.0,295.3,314.1,296.5
850.0,1471,8.8,4.4,74,6.18,210,11.0,295.4,313.6,296.5
844.0,1530,8.0,5.1,82,6.54,213,11.4,295.1,314.3,296.3
808.0,1887,5.8,-1.1,61,4.37,235,14.0,296.5,309.6,297.3
773.0,2249,3.6,-7.4,44,2.84,237,13.1,297.9,306.6,298.4
763.0,2355,4.4,-19.6,16,1.06,237,12.8,299.9,303.3,300.0
714.0,2892,1.8,-28.2,9,0.53,239,11.4,302.7,304.5,302.8
700.0,3051,0.8,-29.2,8,0.49,240,11.0,303.3,305.0,303.4
690.0,3166,0.4,-38.6,3,0.20,238,10.4,304.1,304.9,304.2
668.0,3424,-1.5,-35.4,6,0.28,235,9.0,304.8,305.8,304.8
636.0,3814,-4.5,-30.5,11,0.48,262,9.9,305.7,307.4,305.8
633.0,3851,-4.8,-26.8,16,0.67,265,10.0,305.8,308.2,306.0
620.0,4015,-5.9,-10.6,69,2.75,265,10.2,306.4,315.2,306.9
612.0,4116,-6.7,-9.9,78,2.95,265,10.3,306.6,316.0,307.1
589.0,4415,-8.5,-13.4,68,2.31,265,10.7,307.9,315.4,308.3
580.0,4535,-8.9,-27.9,20,0.67,265,10.8,308.8,311.1,308.9
577.0,4575,-9.1,-15.1,62,2.05,265,10.9,309.0,315.7,309.4
575.0,4602,-9.1,-19.1,44,1.47,265,10.9,309.3,314.2,309.6
569.0,4683,-9.6,-18.7,47,1.53,265,11.0,309.6,314.7,309.9
555.0,4875,-10.9,-17.9,56,1.69,255,11.0,310.3,315.9,310.6
518.0,5403,-14.1,-28.1,30,0.73,226,11.0,312.6,315.2,312.7
511.0,5506,-15.0,-31.6,23,0.53,220,11.0,312.8,314.7,312.9
510.0,5521,-15.1,-32.1,22,0.51,220,10.9,312.8,314.6,312.9
500.0,5670,-16.5,-27.5,38,0.80,220,10.0,312.9,315.7,313.0
487.0,5866,-18.4,-28.0,42,0.78,210,10.0,312.9,315.7,313.1
471.0,6115,-20.7,-28.7,49,0.76,218,9.5,313.0,315.7,313.2
457.0,6336,-22.4,-37.4,24,0.34,225,9.0,313.6,314.9,313.7
447.0,6498,-23.6,-43.8,14,0.18,210,7.0,314.1,314.7,314.1
437.0,6664,-24.9,-50.3,8,0.09,240,7.0,314.5,314.8,314.5
434.0,6714,-25.3,-52.3,6,0.07,241,7.0,314.6,314.9,314.6
422.0,6916,-27.1,-47.3,13,0.13,245,7.0,314.9,315.4,314.9
401.0,7282,-30.3,-38.3,46,0.35,231,9.9,315.3,316.6,315.4
400.0,7300,-30.5,-38.5,46,0.34,230,10.0,315.3,316.5,315.3
394.0,7407,-31.5,-46.5,21,0.15,227,9.3,315.3,315.9,315.4
391.0,7461,-31.9,-38.9,50,0.34,225,9.0,315.5,316.7,315.6
388.0,7515,-32.3,-45.3,26,0.17,223,8.7,315.7,316.3,315.7
