PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
1000.0,139,22.4,7.4,38,6.47,320,2.0,295.5,314.6,296.7
990.0,226,20.2,7.2,43,6.44,336,4.5,294.2,313.1,295.3
984.0,278,19.7,7.0,44,6.41,345,6.0,294.2,313.0,295.3
961.0,480,17.7,6.4,48,6.28,355,6.0,294.1,312.6,295.3
925.0,807,14.4,5.4,55,6.09,325,4.0,294.0,311.9,295.1
869.0,1331,9.4,5.1,75,6.35,290,2.3,294.1,312.7,295.2
861.0,1407,8.9,4.4,74,6.11,285,2.0,294.4,312.3,295.5
850.0,1514,8.2,3.5,72,5.80,290,4.0,294.7,311.8,295.8
838.0,1630,7.3,2.9,74,5.64,270,5.0,294.9,311.6,295.9
742.0,2619,-0.7,-2.0,91,4.45,286,10.7,296.7,310.1,297.5
736.0,2684,-0.9,-4.8,75,3.64,287,11.1,297.2,308.2,297.8
732.0,2727,-1.1,-2.1,93,4.48,288,11.4,297.4,310.9,298.2
724.0,2815,-1.5,-6.3,70,3.30,290,11.9,297.9,308.0,298.5
722.0,2837,-1.7,-6.5,70,3.25,290,12.0,297.9,307.9,298.5
704.0,3037,-3.5,-8.5,68,2.86,294,11.2,298.1,306.9,298.6
700.0,3082,-3.9,-8.8,69,2.81,295,11.0,298.1,306.8,298.6
697.0,3116,-4.2,-9.1,68,2.75,295,11.0,298.2,306.7,298.7
690.0,3196,-4.9,-9.9,68,2.61,291,10.2,298.3,306.4,298.7
688.0,3218,-4.5,-16.5,39,1.53,290,9.9,298.9,303.9,299.2
680.0,3311,-3.8,-29.1,12,0.51,285,9.0,300.7,302.5,300.8
679.0,3322,-3.7,-30.7,10,0.44,285,9.0,301.0,302.5,301.0
654.0,3618,-5.9,-14.9,49,1.84,295,8.0,301.7,307.6,302.1
647.0,3702,-6.1,-24.1,23,0.84,286,7.1,302.4,305.3,302.6
632.0,3885,-7.5,-26.8,20,0.67,265,5.0,302.8,305.1,303.0
624.0,3984,-8.3,-28.3,18,0.60,267,5.3,303.1,305.1,303.2
597.0,4326,-10.9,-18.9,52,1.44,275,6.4,303.9,308.6,304.2
585.0,4483,-10.5,-41.5,6,0.17,279,6.9,306.1,306.8,306.2
582.0,4522,-10.7,-40.2,7,0.20,280,7.0,306.3,307.0,306.3
575.0,4615,-11.3,-37.3,10,0.27,280,6.7,306.7,307.7,306.8
558.0,4842,-13.2,-36.2,13,0.31,280,6.0,307.1,308.2,307.1
546.0,5006,-14.6,-35.4,15,0.34,255,6.0,307.3,308.5,307.4
500.0,5670,-20.3,-32.3,33,0.51,275,7.0,308.2,310.0,308.3
496.0,5729,-20.8,-33.0,33,0.48,275,6.0,308.3,310.0,308.4
487.0,5863,-22.0,-34.6,31,0.42,255,5.0,308.4,309.9,308.5
479.0,5985,-23.1,-36.1,29,0.37,260,5.8,308.6,309.9,308.6
473.0,6077,-23.7,-33.7,39,0.47,264,6.4,308.9,310.6,309.0
465.0,6201,-24.5,-29.5,63,0.72,269,7.2,309.5,311.9,309.6
448.0,6471,-25.8,-33.6,48,0.50,280,9.0,311.2,313.0,311.3
441.0,6585,-26.3,-35.3,43,0.43,273,10.1,311.9,313.5,312.0
416.0,7002,-29.8,-36.0,55,0.42,245,14.0,312.6,314.2,312.7
414.0,7037,-30.1,-36.1,56,0.42,247,14.4,312.7,314.2,312.8
405.0,7192,-31.4,-39.9,43,0.29,255,16.0,313.0,314.1,313.1
400.0,7280,-32.1,-42.1,37,0.24,255,15.0,313.2,314.1,313.2
380.0,7639,-35.1,-51.1,18,0.09,247,13.3,313.9,314.2,313.9
376.0,7712,-35.5,-52.2,17,0.08,245,13.0,314.3,314.6,314.3
357.0,8070,-37.4,-57.3,11,0.05,280,15.0,316.4,316.6,316.4
345.0,8306,-38.7,-60.7,8,0.03,279,17.4,317.8,317.9,317.8
300.0,9250,-45.7,-62.7,13,0.03,275,27.0,320.8,321.0,320.8
280.0,9706,-49.3,-64.3,16,0.02,267,28.7,322.0,322.1,322.0
276.0,9800,-49.8,-60.8,27,0.04,265,29.0,322.6,322.8,322.6
274.0,9847,-50.1,-59.1,34,0.05,266,28.7,322.9,323.1,322.9
256.0,10287,-53.4,-63.8,27,0.03,275,26.0,324.4,324.5,324.4
250.0,10440,-54.5,-65.5,25,0.02,275,25.0,324.9,325.0,324.9
245.0,10570,-55.5,-66.5,25,0.02,272,24.6,325.3,325.4,325.3
224.0,11141,-57.7,-70.7,18,0.01,260,22.7,330.4,330.4,330.4
216.0,11371,-58.4,-72.0,16,0.01,255,22.0,332.7,332.7,332.7
211.0,11520,-58.9,-72.9,15,0.01,255,21.0,334.2,334.2,334.2
200.0,11860,-55.5,-78.5,4,0.00,260,20.0,344.7,344.7,344.7
186.0,12326,-51.5,-82.5,1,0.00,272,17.7,358.4,358.4,358.4
182.0,12467,-51.5,-82.6,1,0.00,275,17.0,360.6,360.6,360.6
176.0,12684,-51.6,-82.9,1,0.00,260,16.0,363.9,364.0,363.9
157.0,13425,-51.8,-83.6,1,0.00,280,14.0,375.7,375.7,375.7
150.0,13720,-51.9,-83.9,1,0.00,270,12.0,380.4,380.5,380.4
147.0,13850,-52.0,-84.0,1,0.00,270,11.0,382.4,382.4,382.4
135.0,14398,-52.6,-84.3,1,0.00,260,13.0,390.9,390.9,390.9
100.0,16330,-54.5,-85.5,1,0.00,285,13.0,422.1,422.2,422.1
96.0,16589,-55.0,-85.8,1,0.00,290,10.0,426.0,426.0,426.0
89.0,17070,-56.1,-86.4,1,0.00,265,10.0,433.3,433.3,433.3
84.9,17370,-56.7,-86.7,1,0.00,274,10.6,437.9,437.9,437.9
82.0,17591,-55.6,-86.0,1,0.00,280,11.0,444.5,444.5,444.5
78.0,17909,-54.1,-85.0,1,0.00,255,6.0,454.1,454.1,454.1
77.6,17942,-53.9,-84.9,1,0.00,257,6.4,455.1,455.1,455.1
75.0,18159,-54.3,-85.3,1,0.00,270,9.0,458.7,458.8,458.7
72.0,18420,-54.8,-85.8,1,0.00,250,8.0,463.1,463.1,463.1
70.0,18600,-55.1,-86.1,1,0.00,265,8.0,466.2,466.2,466.2
69.0,18692,-55.2,-86.1,1,0.00,285,7.0,467.9,467.9,467.9
63.0,19273,-55.7,-86.3,1,0.00,305,7.0,479.0,479.1,479.0
61.0,19480,-55.9,-86.4,1,0.00,275,7.0,483.1,483.1,483.1
56.0,20026,-56.4,-86.6,1,0.00,0,5.0,493.9,493.9,493.9
54.0,20259,-56.6,-86.7,1,0.00,320,3.0,498.5,498.6,498.5
53.3,20342,-56.7,-86.7,1,0.00,313,4.4,500.2,500.2,500.2
53.0,20378,-56.6,-86.7,1,0.00,310,5.0,501.3,501.3,501.3
51.0,20624,-55.9,-86.6,1,0.00,335,8.0,508.5,508.5,508.5
50.0,20750,-55.5,-86.5,1,0.01,0,6.0,512.2,512.3,512.3
