PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
995.0,139,15.4,13.6,89,9.88,220,2.0,289.0,316.8,290.7
978.0,286,15.8,11.3,75,8.65,230,11.0,290.8,315.5,292.3
968.0,374,16.0,10.0,68,7.98,230,12.5,291.8,314.8,293.3
925.0,761,14.0,9.2,73,7.92,230,19.0,293.6,316.6,295.0
913.0,870,13.4,8.8,74,7.80,225,20.0,294.0,316.7,295.4
850.0,1470,9.8,6.5,80,7.16,205,17.0,296.4,317.5,297.7
841.0,1558,9.6,5.9,78,6.94,202,17.0,297.1,317.6,298.3
803.0,1936,6.7,4.1,84,6.40,190,17.0,297.9,317.0,299.1
776.0,2216,4.5,2.8,88,6.02,200,16.0,298.5,316.5,299.6
736.0,2648,1.2,0.7,97,5.47,190,14.0,299.4,315.9,300.4
725.0,2771,0.2,0.1,99,5.32,201,13.0,299.7,315.7,300.6
703.0,3018,-0.6,-0.6,100,5.21,225,11.0,301.4,317.3,302.4
700.0,3052,-0.7,-0.7,100,5.20,230,11.0,301.7,317.5,302.6
646.0,3679,-4.4,-4.8,97,4.15,230,14.0,304.4,317.4,305.2
621.0,3987,-6.3,-6.8,96,3.70,215,13.0,305.8,317.4,306.5
610.0,4126,-7.1,-7.7,96,3.51,230,14.0,306.4,317.5,307.0
586.0,4440,-9.0,-9.7,94,3.12,215,16.0,307.7,317.7,308.3
556.0,4850,-11.5,-12.4,93,2.65,225,15.0,309.5,318.1,310.0
545.0,5006,-12.4,-13.4,92,2.49,210,14.0,310.1,318.3,310.6
539.0,5092,-12.9,-14.0,91,2.41,212,14.1,310.5,318.4,311.0
500.0,5660,-17.1,-18.6,88,1.76,225,15.0,312.1,318.0,312.5
487.0,5856,-18.5,-20.1,87,1.59,225,15.0,312.8,318.2,313.1
444.0,6543,-23.3,-25.3,84,1.10,218,15.5,315.1,318.9,315.3
428.0,6812,-25.5,-28.4,77,0.86,215,15.7,315.6,318.6,315.8
400.0,7300,-29.5,-31.4,84,0.69,210,16.0,316.6,319.1,316.7
394.0,7406,-30.4,-32.3,83,0.65,210,16.0,316.7,319.1,316.9
376.0,7735,-33.2,-35.1,83,0.51,220,17.0,317.3,319.1,317.4
361.0,8022,-35.7,-37.6,83,0.42,224,16.1,317.7,319.2,317.8
325.0,8743,-41.3,-45.0,67,0.21,233,13.7,319.6,320.5,319.7
309.0,9083,-44.3,-46.0,83,0.20,238,12.6,320.1,320.9,320.1
301.0,9258,-45.7,-49.5,66,0.14,240,12.0,320.5,321.1,320.5
300.0,9280,-45.9,-49.9,64,0.13,245,13.0,320.6,321.1,320.6
297.0,9347,-46.5,-50.8,61,0.12,245,15.0,320.6,321.1,320.7
282.0,9690,-49.5,-55.5,50,0.07,243,14.5,321.1,321.4,321.1
267.0,10046,-52.6,-57.5,56,0.06,240,14.0,321.6,321.8,321.6
263.0,10145,-53.5,-58.0,58,0.06,242,14.7,321.7,321.9,321.7
250.0,10470,-56.3,-59.6,67,0.05,250,17.0,322.2,322.4,322.2
222.0,11207,-61.6,-65.2,63,0.03,260,24.0,325.2,325.3,325.2
211.0,11523,-63.9,-67.6,61,0.02,260,20.0,326.4,326.5,326.4
203.0,11759,-63.3,-68.7,49,0.02,255,20.0,330.9,331.0,330.9
200.0,11850,-63.1,-69.1,45,0.02,245,20.0,332.7,332.8,332.7
194.0,12038,-62.4,-71.7,28,0.01,225,15.0,336.6,336.7,336.6
191.0,12135,-62.1,-73.1,22,0.01,227,15.0,338.7,338.7,338.7
182.0,12436,-61.2,-74.7,16,0.01,235,15.0,344.8,344.9,344.8
176.0,12645,-60.6,-75.9,12,0.01,225,14.0,349.2,349.2,349.2
171.0,12825,-60.1,-76.9,10,0.01,245,14.0,352.9,353.0,352.9
164.0,13085,-59.3,-78.3,7,0.01,240,16.4,358.5,358.5,358.5
157.0,13359,-59.1,-79.1,6,0.01,235,19.0,363.3,363.3,363.3
150.0,13650,-53.3,-76.3,5,0.01,245,7.0,378.0,378.1,378.0
149.0,13693,-53.6,-76.4,5,0.01,245,6.0,378.3,378.3,378.3
145.0,13866,-54.8,-76.8,5,0.01,225,3.0,379.1,379.2,379.1
136.0,14274,-57.6,-77.8,6,0.01,220,8.0,381.2,381.2,381.2
135.0,14321,-57.9,-77.9,6,0.01,220,9.0,381.4,381.5,381.4
129.0,14608,-57.6,-78.8,5,0.01,250,15.0,387.0,387.1,387.0
122.0,14961,-57.2,-79.9,4,0.01,265,6.0,394.0,394.0,394.0
117.0,15226,-56.9,-80.7,4,0.01,230,8.0,399.3,399.3,399.3
108.0,15733,-56.3,-82.2,3,0.00,225,5.0,409.6,409.7,409.6
103.0,16033,-55.9,-83.1,2,0.00,205,9.0,415.9,415.9,415.9
100.0,16220,-55.7,-83.7,2,0.00,220,10.0,419.8,419.9,419.8
97.0,16414,-55.8,-83.9,2,0.00,245,10.0,423.4,423.4,423.4
87.0,17106,-56.0,-84.4,2,0.00,245,9.0,436.2,436.3,436.2
84.0,17330,-56.1,-84.6,2,0.00,260,12.0,440.5,440.5,440.5
80.0,17640,-56.2,-84.8,2,0.00,275,6.0,446.4,446.5,446.4
77.0,17883,-56.3,-85.0,2,0.00,225,3.0,451.2,451.2,451.2
76.0,17967,-56.3,-85.1,2,0.00,220,5.0,452.8,452.8,452.8
73.0,18223,-56.4,-85.3,2,0.00,245,5.0,457.8,457.9,457.8
70.0,18490,-56.5,-85.5,2,0.00,205,7.0,463.2,463.2,463.2
67.0,18768,-56.8,-85.8,2,0.00,230,8.0,468.4,468.5,468.4
64.0,19059,-57.0,-86.0,2,0.00,220,10.0,474.0,474.0,474.0
63.2,19139,-57.1,-86.1,2,0.00,232,10.4,475.6,475.6,475.6
62.0,19262,-56.7,-85.9,2,0.00,250,11.0,479.0,479.1,479.0
59.0,19579,-55.7,-85.4,1,0.01,250,12.0,488.1,488.2,488.1
55.0,20028,-54.3,-84.7,1,0.01,275,5.0,501.3,501.3,501.3
51.9,20400,-53.1,-84.1,1,0.01,275,4.4,512.4,512.5,512.4
50.0,20640,-53.9,-83.9,2,0.01,275,4.0,516.0,516.1,516.0
